"","hostis_spes_signum_pugno_video_salus_clamor","hostis_eques_Caesar_silva_agmen_interfacio_legio","legio_Caesar_Ipse_proficiscor_tres_Gallia_hiberna","fodio_murus_vallus_agger_altitudo_pedum_autem","hostis_sino_salus_modus_posse_diligens_posset","Caesar_nox_posterus_oppugno_ante_iubet_timor","legio_hostis_cohors_proximus_impedimentum_Caesar_agmen","dico_Caesaris_vita_gravis_senatus_sententia_Aedui","apud_frater_gratia_senatus_jus_ager_Haeduorum","bellum_accipio_quantus_discedo_Caesar_Romanorum_nihil","sino_hostis_resisto_sub_labor_armo_cado","hostis_legio_alter_Caesar_ubi_acies_uter","frumentum_provincia_transeo_aedificium_ager_prohibeo_autem","palus_natura_munio_prior_sic_paro_celeriter","Caesar_obsideo_colloquium_Gallia_ito_impero_Caesaris","certus_passus_supra_fio_circito_demonstravimus_dis","totus_princeps_imperium_concilium_singulus_sunt_Hi","passus_circito_spatium_nox_ibi_contineo_amplus","annus_ager_frumentum_inopia_for_ratio_Haec","esset_C_video_ibi_Ad_alter_quisquam","hostis_circito_tempestas_portus_insula_aestus_passus","nitor_Gallorum_capio_nihil_Caesar_legio_subeo","quidem_fortuna_hostis_volo_littera_adeo_fio","murus_telum_consuetudo_manus_intro_ante_adeo","Rhenum_transeo_Caesar_Germanorum_trans_domus_Germanos"
"hostis",0.0395064754667647,0.0391957453193511,0.00258867497557045,1.76115249819482e-05,0.0271957356525399,0.00682467772355194,0.0441692922076619,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,0.0221260556990298,0.0575608839623306,2.36792877270252e-05,0.00121919150868973,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.0257856348797484,2.75626360905157e-05,0.0183997060569232,2.99571612593991e-05,3.03204875534399e-05
"Caesar",1.36182266345277e-05,0.0175222153681999,0.0240181035812861,1.76115249819482e-05,0.0087846960425032,0.034045614512648,0.0200878970921715,2.0994730322689e-05,2.11725349876141e-05,0.0169598699216368,0.00700309439054466,0.0329019985439515,2.36792877270252e-05,2.39057158566613e-05,0.0293062638783827,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.00544996068436322,0.0165651442903999,0.0113337667109466,2.99571612593991e-05,0.0303508080409933
"legio",1.36182266345277e-05,0.0125206315333189,0.067734137936946,0.00177876402317677,1.75343234381301e-05,1.94435262779258e-05,0.0642371214705705,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,0.0411216270167446,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,0.00872461534637469,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,0.0165651442903999,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"sino",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,0.0193052901053813,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,0.030269188711291,2.34846527794087e-05,2.36792877270252e-05,0.00360976309435586,0.00490471193967936,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,0.012012821665019,0.00306236924289743
"eques",1.36182266345277e-05,0.0200230072856405,1.71435428845725e-05,1.76115249819482e-05,0.0114148445582227,0.00779685403744823,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,0.0105915784035133,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,0.00872461534637469,0.00392911972105852,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"jam",0.0088654655390775,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,0.00974120666524081,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,0.0113141076308123,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,0.00600033468002199,0.00490471193967936,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,0.0160776865252401,2.73365955003964e-05,2.71142322605135e-05,0.00554008985419365,2.82637573839066e-05,0.00901710553907912,3.03204875534399e-05
"passus",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,0.0045391928818229,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,0.0248813104322537,2.60206604043611e-05,0.0373789386622555,2.67515582782697e-05,2.73365955003964e-05,0.014939941975543,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"totus",1.36182266345277e-05,1.66719461162702e-05,0.00944609212939946,0.00618164526866381,1.75343234381301e-05,1.94435262779258e-05,0.00804719953442636,2.0994730322689e-05,0.00425567953251043,2.2583049163298e-05,0.0104930085386566,2.34846527794087e-05,2.36792877270252e-05,0.00121919150868973,2.44015519387033e-05,2.48564539782755e-05,0.0234446150243293,0.00136068941597076,0.00403948530001873,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"video",0.0136318448611622,1.66719461162702e-05,1.71435428845725e-05,0.000898187774079358,0.00264768283915765,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,0.00262808670084047,2.66801846268776e-05,0.00270190738610524,0.0218966129958175,0.0135842303625173,2.75626360905157e-05,0.0113337667109466,2.99571612593991e-05,3.03204875534399e-05
"ante",1.36182266345277e-05,0.00251746386355679,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,0.0126577356069297,2.00678292629086e-05,0.0105183598916672,0.00319705278312972,2.2583049163298e-05,2.32660943207464e-05,0.0105915784035133,0.00239160806042954,0.0119767636441873,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,0.0150085377909589,3.03204875534399e-05
