"","camp_Caesar_enemy_cavalry_army_horse_some","enemy_while_slain_did_fighting_battle_weapons","Caesar_Aedui_hostages_people_did_brought_Gaul","Caesar_people_Roman_Ariovistus_Gaul_That_s","river_enemy_baggage_legions_place_two_army","state_among_most_influence_whose_has_man","Caesar_arms_ambassadors_hostages_Having_cavalry_town","soldiers_Vercingetorix_camp_Gauls_town_fortifications_every","corn_war_account_They_Romans_off_such","winter_quarters_war_Gaul_Ambiorix_legion_Labienus","town_wall_feet_rampart_night_works_made","war_states_Aedui_general_state_every_command","Gaul_Gauls_than_rest_territories_account_now","soldiers_legion_valour_centurions_most_only_command","Rhine_Germans_territories_war_army_Suevi_Treviri","ships_sea_Britain_war_back_island_ocean","legions_orders_soldiers_little_Caesar_sends_two","hill_legions_side_two_ground_mountain_front","Gaul_much_order_After_many_done_will","may_do_They_horses_even_every_most","even_time_safety_army_first_matters_Roman","soldiers_such_river_down_bridge_These_distance","country_thousand_Aedui_Arverni_cavalry_Vercingetorix_Bituriges","you_received_I_said_us_When_since","Helvetii_Province_Sequani_through_Allobroges_Rhone_Roman"
"Caesar",0.03412960224472,1.01905635381637e-05,0.0331165760227004,0.0537759439859965,1.28733264675592e-05,0.00730533683289589,0.0484514897989138,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,0.0208179297597042,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"enemy",0.0290107306715201,0.0484153673698156,1.18231260345235e-05,1.25031257814454e-05,0.0283341915550978,1.45815106445028e-05,1.46778218112432e-05,0.0110081658291457,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,0.00214300869934224,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"camp",0.0451256967352975,1.01905635381637e-05,1.18231260345235e-05,0.00126281570392598,1.28733264675592e-05,1.45815106445028e-05,1.46778218112432e-05,0.0212154522613065,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,0.00397390272835113,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"war",3.79175672088879e-06,1.01905635381637e-05,1.18231260345235e-05,0.0150162540635159,1.28733264675592e-05,0.00511811023622047,1.46778218112432e-05,1.57035175879397e-05,0.0283265177728846,0.0217622422680412,1.64663263625885e-05,0.0338161452298185,1.97316495659037e-05,1.97706603400554e-05,0.0233800528133252,0.0201782304264799,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,0.0128746788467028,2.9868578255675e-05,3.14663310258024e-05
"soldiers",0.0034163728055208,0.00816264139406909,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,1.45815106445028e-05,0.00148246000293556,0.0227858040201005,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,0.0534005535784895,2.03128173877717e-05,2.12179079142797e-05,0.0254390018484288,2.39923224568138e-05,0.012610118298515,2.53613999492772e-05,2.54582484725051e-05,0.0347926860674736,0.00145589494718812,2.9868578255675e-05,3.14663310258024e-05
"Gaul",3.79175672088879e-06,1.01905635381637e-05,0.0153818869709151,0.0250187546886722,1.28733264675592e-05,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,0.00787983642654923,0.0209568298969072,1.64663263625885e-05,0.00870992661259173,0.0384964483030781,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,0.0214195821797131,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"army",0.0153604064763205,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,0.0199665293511843,0.0036599591717702,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,0.00645940721649485,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,0.00100830367734282,0.0233800528133252,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,0.0178462321792261,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"cavalry",0.0219959807378759,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,1.45815106445028e-05,0.0176280639953031,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,0.00100631412786109,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,0.0242934627462175,2.9868578255675e-05,3.14663310258024e-05
"place",0.0123270010996094,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,0.0225411946446962,0.00803441236512103,0.012490826361368,0.00315640703517588,1.57282164202579e-05,1.61082474226804e-05,0.00989626214391569,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"people",3.79175672088879e-06,0.000519718740446347,0.0177465121778198,0.0393973493373343,1.28733264675592e-05,0.0102216389617964,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,0.00611415803371928,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,0.00636571138726858,0.0102087576374745,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,0.0126179987413468
"time",0.0123270010996094,0.00969122592479364,1.18231260345235e-05,0.000637659414853714,1.28733264675592e-05,0.00657626130067075,1.46778218112432e-05,0.000800879396984925,1.57282164202579e-05,1.61082474226804e-05,0.00413304791700972,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,0.00638659028219817,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,0.0216649694501018,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,0.0110446821900566
"state",3.79175672088879e-06,1.01905635381637e-05,0.0141995743674628,1.25031257814454e-05,1.28733264675592e-05,0.0357392825896763,0.0161602818141788,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,0.0164349169563538,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,0.0171567228090208,2.9868578255675e-05,3.14663310258024e-05
"legions",3.79175672088879e-06,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,0.0238285272914521,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,0.00807023195876289,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,0.00103595368677636,2.12179079142797e-05,0.0485443622920518,0.026415547024952,0.00254215957714573,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"Aedui",3.79175672088879e-06,1.01905635381637e-05,0.0331165760227004,1.25031257814454e-05,0.00773686920700309,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,0.0241599073001159,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,0.0257208107336569,2.9868578255675e-05,3.14663310258024e-05
