"","Caesar_legionibus_legiones_His_Ipse_ipse_mittit","hostium_hostes_nostri_castra_proelio_equitum_equites","oppido_castra_oppidum_clamore_fuga_die_copiis","castris_locum_milites_hostium_suos_nostris_tela","propter_Caesar_tempore_omnia_exercitum_enim_rei","bellum_Galliae_sua_apud_quid_sit_Romano","partem_parte_naves_erant_omni_esset_quibus","Romani_populi_Galliam_uti_Germanorum_sese_rei","castris_castra_Caesar_copias_die_hostium_hostes","fines_bellum_Rhenum_finibus_trans_magna_pars","nostros_equites_facto_consilio_proelio_proelium_Quo","sine_periculo_tanta_posset_loci_locum_ipse","iam_quidem_res_nostri_virtute_milites_ipsi","flumen_fines_exercitum_Caesar_copiis_iter_pervenit","Caesar_His_naves_iubet_quid_fieri_locum","Caesarem_legatos_obsides_Caesar_celeriter_ei_His","rem_uti_militum_pro_Caesarem_sese_eam","parte_pedum_natura_possent_autem_passuum_fluminis","Caesar_Cum_quem_esset_equitatum_armis_Germanos","quos_bello_hoc_Itaque_illi_etiam_res","Galliae_fidem_belli_contra_C_Caesaris_fuit","suos_quorum_fere_summam_omnium_haec_reliquis","milia_una_pro_esset_cuius_hominum_numero","Caesar_eodem_fore_Haec_longius_tempore_nihil","passuum_milia_circiter_milibus_castris_castra_longius"
"Caesar",0.0250769855100141,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.0239735258003654,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.0270292393831243,1.68401199016537e-05,0.00930240410588871,1.71726885561203e-05,1.70992784104511e-05,0.0138146321272119,0.0270293820361786,0.0183318216702714,1.99274640309274e-05,2.01482914248872e-05,0.0246703093545869,2.06902259372672e-05,0.00416304212750093,2.06262117899427e-05,2.0884674825613e-05,0.0181713358387427,2.21082419525999e-05
"castra",1.19357379866797e-05,0.0208378116938951,0.0183854549413462,0.00149669541507365,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.0294849546511247,1.68401199016537e-05,0.00845826580226904,0.00946215139442231,1.70992784104511e-05,1.72467317443344e-05,0.00350284061203862,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,0.0154978776087725
"castris",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,0.0155745235766575,1.49740948159684e-05,1.50529865125241e-05,0.0103199010811325,1.5839827662675e-05,0.0515863920631283,1.68401199016537e-05,1.68827660723933e-05,0.00688624811100426,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,0.0079909130764019,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,0.0199195259992925
"hostium",1.19357379866797e-05,0.0329293852106621,1.36087749380801e-05,0.0126107702794819,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.0229363806031237,1.68401199016537e-05,1.68827660723933e-05,0.00345171039978019,0.00600184672206833,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,0.00201267386712367,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"hostes",1.19357379866797e-05,0.0241965821152193,1.36087749380801e-05,0.00816514033371862,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.0139320912871222,1.68401199016537e-05,0.010990680713128,1.71726885561203e-05,0.0128415580862488,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,0.0010163006655773,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,0.00108899897505979,0.00223293243721259
"Caesarem",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,0.00519126625504467,1.74270677215852e-05,0.0383904276843648,0.0149655254872265,2.01482914248872e-05,2.05414732344604e-05,0.00105520152280063,0.00416304212750093,2.06262117899427e-05,0.0083747546050708,0.00642722924496071,2.21082419525999e-05
"sese",1.19357379866797e-05,1.34350816852966e-05,0.00273536376255409,0.00149669541507365,1.49740948159684e-05,0.00678889691714836,1.58523826131067e-05,0.0126877019578027,0.0114763760191218,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,0.0104828019256262,0.0139691522856801,2.01482914248872e-05,0.0113183517521877,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"quos",1.19357379866797e-05,0.00874623817712812,1.36087749380801e-05,1.48187664858777e-05,0.00375849779880806,1.50529865125241e-05,0.000808471513268444,0.00635177089273269,1.63714351200026e-05,0.00170085211006702,1.68827660723933e-05,1.71726885561203e-05,0.00771177456311344,0.00174191990617778,0.0104736677006727,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,0.0186418935694778,2.07116523756265e-05,2.06262117899427e-05,0.0115074558289127,2.13529210796037e-05,2.21082419525999e-05
"erant",0.00777016542932849,1.34350816852966e-05,1.36087749380801e-05,0.00890607865801251,1.49740948159684e-05,1.50529865125241e-05,0.0134903776037538,1.5839827662675e-05,1.63714351200026e-05,0.00506887609039776,1.68827660723933e-05,1.71726885561203e-05,0.00600184672206833,0.010365285778345,0.00611690077027639,0.00525012209586269,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"esset",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,0.00297857206366142,1.49740948159684e-05,1.50529865125241e-05,0.0126977584730985,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,0.010980032681041,0.00102756286266925,0.0164537200608028,2.06902259372672e-05,0.0134832856965329,2.06262117899427e-05,0.0177728582765966,2.13529210796037e-05,0.00223293243721259
"pro",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,0.00477156716654513,0.00793575365900019,0.0139320912871222,1.68401199016537e-05,0.00170515937331172,1.71726885561203e-05,0.00429191888102322,1.72467317443344e-05,0.00437419399811788,1.74422660992116e-05,0.0159618986887729,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,0.0198613257591579,2.13529210796037e-05,2.21082419525999e-05
"locum",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,0.0155745235766575,1.49740948159684e-05,0.00603624759152216,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.0103207858222283,1.70992784104511e-05,0.010365285778345,0.0139590812449897,1.74422660992116e-05,1.99274640309274e-05,0.00908687943262411,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"His",0.0149316082213363,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,0.00429191888102322,1.72467317443344e-05,0.021801261719703,0.0130991418405079,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,0.00723980033826987,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"parte",1.19357379866797e-05,1.34350816852966e-05,0.00273536376255409,0.00520138703654308,1.49740948159684e-05,1.50529865125241e-05,0.0142829967344092,1.5839827662675e-05,1.63714351200026e-05,0.00675288808056313,1.68827660723933e-05,0.00602761368319824,0.00429191888102322,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,0.0221832688588008,2.05414732344604e-05,0.00622775800711744,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"etiam",1.19357379866797e-05,0.00538746775580395,1.36087749380801e-05,0.00594232536083696,0.00974813572519541,1.50529865125241e-05,1.58523826131067e-05,0.00476778812646518,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.00774488253881027,0.00600184672206833,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,0.00310176245840352,0.0114003144914342,2.07116523756265e-05,2.06262117899427e-05,0.0115074558289127,2.13529210796037e-05,2.21082419525999e-05
"quibus",1.19357379866797e-05,1.34350816852966e-05,0.00749843499088212,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,0.0126977584730985,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,0.00170515937331172,1.71726885561203e-05,0.00258199103997811,1.72467317443344e-05,1.74270677215852e-05,0.000889555571059792,1.99274640309274e-05,2.01482914248872e-05,0.00618298344357257,2.06902259372672e-05,0.00623420736506358,0.00827111092776701,0.0115074558289127,0.00322429108302016,0.00997081712062257
"bellum",1.19357379866797e-05,1.34350816852966e-05,0.00137448626874609,1.48187664858777e-05,1.49740948159684e-05,0.0256051300578035,1.58523826131067e-05,0.000807831210796426,1.63714351200026e-05,0.0252770199723822,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,0.000879583318961057,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,0.00726978998384491,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"partem",0.0113508868253324,0.00538746775580395,1.36087749380801e-05,0.00816514033371862,1.49740948159684e-05,1.50529865125241e-05,0.0206239497796519,1.5839827662675e-05,1.63714351200026e-05,0.00338486410023239,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,0.00519862474628226,2.06262117899427e-05,0.00106511841610626,2.13529210796037e-05,2.21082419525999e-05
