"identifier","text"
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.1","Lectis epistolis tuis multo modo per motum affectum lacrimis tenere              non potui: nam et gaudio flebam, quod te secundum Domini Dei             nostri praecepta uiuere ex sermone ipso litterarum tuarum poteram             agnoscere, et prae desiderio tui non poteram non dx)lere, quod per             summam a te iniuriam alienabar, si litteras non misisses. tali ergo             sorore non fruerer? testor autem salutem tuam: persaepe ad nos             uenire uolui, sed usque adhuc impeditus sum, obsistente eo qui consueuit             obsistere. nam et festinabam desiderio meo in tuo aspectu satisfacere,            et opus Domini nostri inter nos obiter uidebamur acturi,             cum alter alterum consolando, calcata a nobis mole saeculi, uiueremus.             sed iam ego ueniendi diem tempusque non statuo, quia quotiescumque            statui, implere non potui: Domini opperiar uoluntatem speroque             quod meis uotis et orationibus tuis de nostra nos fructum faciat             capere praesentia."
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.2","Ceterum quod a me in omnibus epistolis, quas ad te miseram,              uitae ac fidei tuae praecepta desiderasti , iam per adsiduitatem scriptorum            meorum uerba consumpsi: nihil nouum tibi rescribere modo             possum, quod ante non scripserim. et sane propitio Deo iam non             indiges admoneri, quae fidem inter principia consummans deuotam in             Christo exhibes caritatem. unum tamen moneo, ne transcursa *) jPfMMMtt edita a Baluzio in JfMceM. J, 329 sqq. ex codice collegii SS.             et tttdtM. Trinitatis Cantabrigiensis (B, 2, 35). C == codex Cantabrigiensis:            b == editio Baluzii. 5 M b: et C 6 pro desiderio b 7 iniuriam a te malebat Clericus             13 ego (MM. b 14 operiar C&, opperior Clericus 15 capere faciat            b 16 praesentia C (ut coniecit Baluzius): perseuerantia b 18 demderMti            scripsi: desiderans C&              repetas, ne contempta desideres, ne manum aratro inserens retrorsum             conuersa respicias, quo utique in te redeunte uitio ordinem suum             necesse est sulcus amittat, nec sane mercedem suam cultor accipiet.             alioquin nec partem consequitur, si ex parte cessauerit. nam sicut a             peccato ad iustitiam fugiendum est, ita ei, qui iustitiam fuerit ingressus,             ne peccato pateat praecauendum. scriptum enim est, iusto,             in qua die exerrauerit, iustitiam non profuturam. in             hoc igitur consistendum est, in hoc laborandum, ne qui peccata euasimus,            praemia parata perdamus. stat enim aduersum nos paratus             inimicus, ut nudatum fidei umbone mox feriat. non abiciendus est             itaque clipeus, ne latus pateat: non remittendus est gladius, ne             hostis incipiat non timere: porro cum \'armatum uiderit, abibit. nec             ignoramus durum esse atque difficile aduersus carnem et saeculum             cotidie dimicare. sed si aeternitatem cogites, si caelorum regna con             sideres, quae utique nobis Dominus licet peccatoribus praestare dignabitur,             quae tandem condigna passio est, qua tanta mereamur ?             luctamen autem nobis in hoc mundo parui temporis est; nam etsi             mors non succedat, senecta succedet. labuntur anni, fluunt tempora,            et, ut spero, Dominus Iesus tanquam desideratos sibi celeriter             uocabit.             "
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.3","O quam felix ille noster excessus, cum a labe peccati melioris uitae             conuersatione purgatos sede sua nos Christus excipiet. occurrent             martyres et prophetae, iungentur apostoli, gaudebunt angeli, laetabuntur            archangeli, uictusque satanas cruento licet ore pallebit,             quippe qui etiam nostra, quae (Sibi in nobis praeparauerat, peccata             perdiderit. uidebit gloriam concessam per ueniam, merita honorata             per gloriam: nos triumphabimus hoste superato. ubi tunc mundi             istius sapientes uidebuntur? ubi auarus, ubi adulter, ubi impius,             ubi ebriosus, ubi maledicus irecognoscentur? quid miseri pro sua             defensione dicturi sunt? \'nesciuimus te, Domine, te in mundo esse             non uidimus: prophetas non misisti, legem saeculo non dedisti:             patriarchas uon nidimus, sanctorum non legimus exempla. Christus 1 Luc. 9, 62. 6 Ezech. 18, 24.  3 accipiat b 5 ita et qui Cb 6 iustus C 9 aduersua b 10 umbonẽ            C 11 clypeuB b 13 atque C. ac b 16 quae tanta C 17 nobis             OM. b 23 iungentur C: tangentur b 24 arcangeli C 28 ridebantur            b              tuus in terra non fuit, Petrus tacuit, Paulus noluit praedicare, Euangelista            non docuit. martyres non fuerunt quorum exempla sequeremur:            futurum iudicium tuum nemo praedixit, uestire pauperem nemo             mandauit, prohibere libidinem nemo praecepit, repugnari auaritiae             nemo persuasit: inscientia lapsi sumus, quae fecimus nescientes\\             "
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.4","His e contrario ex illo sanctorum choro uel primus Noe iustus              proclamabit: \'Ego, Domine, et superuenturum propter peccata hominum            diluuium praedicaui, et post diluuium exemplum de me praebui             bonis, cum malis pereuntibus non perirem, ut isti cognoscerent et             quae esset innocentibus salus et quae poena peccantibus.\' Post hunc             Abraham fidelis obsistet. \'Ego\' inquit \'Domine, fidem qua humanum             in te crederet genus media fere mundi illius aetate fundaui: ego pater             gentium, cuius exempla sequerentur, electus sum: ego Isaac adhuc             paruulum non dubitaui, Domine, offerre tibi pro uictima., ut isti             recognoscerent nihil non Domino praestari debere, cum me ipsum ne ,             filio quidem unico intellegerent pepercisse: ego terram meam et cognationem            meam te, Domino, iubente deserui, ut istis quoque esset             exemplum nequitias mundi et saeculi peccata deserere: ego, Domine,             te licet corporea sub imagine primus agnoui, nec dubitaui credere             quem uidebam, licet in alia mihi substantia uidereris, ut isti intellegerent            non secundum carnem, sed secundum spiritum iudicare\'. Huic             Moyses beatus obsecundabit: *Ego legem, Domine, istis omnibus te             iubente tradidi, ut quos libera fides non tenebat, lex saltim dicta             cohiberet: ego dixi \'non adulterabis\', ut licentiam fornicationis             inhiberem: ego dixi \'diliges proximum tuum\\ ut caritas             abundaret: ego dixi \'Domino soli seruies\', ne isti idolis immolarent            uel templa esse paterentur. ego ne falsa testimonia dicerentur             edixi, ut istis aduersus omne mendacium praecluderem ora. ego facta             dictaque a mundi exordio, operante in me spiritu tuae uirtutis, exposui,             ut istis cognitio praeteritorum doctrinam tribueret futurorum.             ego te uenturum, Domine Iesu, praedicaui, ut istis non inopinatum             esset agnoscere quem uenturum ante praedixeram\\ 24 Exod. 20, 14. 25 Leuit. 19, 18. 26 Deuter. 6, 13.  1 euangelistica b 4 fort. cohibere 5 sumus C.\' suum b 6 iustus             Noe b 9 cum Mos: ut Cb )) perirent & 11 malim obsistet et \'ego\'             inquiet 17 domine OMt. b 19 corporea scripsi: corpore Cb 23 saltem            b 24 cohibitet b "
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.5"," Post hunc adstabit dignus Domini sui Dauid semine: \'Ego te, Domine,            per omnia nuntiaui, ego nomini tuo tantum seruiendum esse             clamaui: ego dixi \'beatus uir qui timet Dominum\\ ego dixi             \'exultabunt sancti in gloria\', ego dixi \'desiderium peccatorum            peribit*, ut isti te agnoscerent et peccare desinerent..             ego cum regia praeditus essem potestate, cilicio supertecto, puluere             subiecto, depositis insignibus magnificentiae meae procubui uestimentis,            ut istis mansuetudinis atque humilitatis daretur exemplum.             ego inimicis meis, qui interficere me cupierunt, peperci, ut misericordiam            meam isti probarent imitandam\'. Post hunc Isaias dignus Dei             spiritu non tacebit. \'Ego, Domine, te per os meum loquente praemonui            *uae iis qui iungunt domum ad domum*, ut modum            cupiditati inponerem. ego iram tuam peccantibus uenisse testatus             sum, ut istos a malefactis suis si non spes praemiorum, saltim suppliciorum            formido cohiberet*.             "
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.6"," Post hos aliosque conplures, qui doctrinae nobis officia praestiterunt,            ipse Dei filius haec loquetur: \'Ego certe excelsa sede sublimis,             caelum palma, terram pugillo continens, intra extraque diffusus,             cunctorum quae gignuntur interior atque omnibus quae mouentur             exterior, inaestimabilis, naturae potestate infinitus, inuisibilis            aspectu, incomprehensibilis adtactu, ut inter uos ad edomandam duritiam            cordis uestri et perfidiam doctrinis salutaribus molliendam             uestrum minimus existerem, nasci carne dignatus sum depositaque             Dei gloria habitum formae seruilis adsumpsi, ut communicata uobiscum            infirmitate corporea, rursum in consortium gloriae meae per obedientiam             praecepti salutis adhiberem. aegris infirmisque omnibus             sanitatem, auditum surdis, uisum caecis, uocem mutis, claudis             pedum officia restitui, ut uos signis caelestibus permouerem, quo facilius            in me atque in iis, quae praedicaueram, crederetis. ego uobis             caelorum regna promisi, ego etiam, ut inpunitatis haberetis exemplum,             latronem, qui me sub mortis suae tempore fatebatur, in paradiso            collocaui, ut uel illius fidem, qui remitti sibi meruerat peccata. 3 Pa. 111, 1. 4 Ps. 149, 5. !i Pa. 111, 10. 12 les. 5, 8.             1sct.Ies.40.12.  6 superiecto b 7 neBtimentia glossema uidetur 10 istis probav             \'             rem b )) esayas C 12 hiis C, his b 14 saltem b 19 gignentur C             21 edomandum Cb 26 salutaris b 29 hiis C, his b 32 uei MH. b              sequeremini. atque ut exemplo meo pro uobis et ipsi pati possetis,             pro uobis ego passus sum, ne dubitaret homo pro so pati quod Deus             pro homine pertulisset. ego me post resurrectionem, ne fides uestra             confunderetur, ostendi. ego in Petro Iudaeos monui, ego in Paulo             gentibus praedicaui: nec paenitet: est fructus bonorum. opus meum             boni intellexerunt, perfecerunt fideles, iusti impleuerunt, consummauerunt            misericordes: et magna pars martyrum, magna sanctorum             est. in eodem certe et isti corpore, in eodem fuerunt mundo. cur nullum            in uobis bonum opus, gens uipereae stirpis, inuenio ?  paenitentiam            malorum uestrorum nec sub ultima die uestri finis egistis. quid             autem attinet quod me labiis adoratis, si factis et operibus denegetis?             ubi nunc uestrae diuitiae, ubi honores, ubi potentia, ubi uestrae             sunt uoluptates? nullam nouam In uos mando sententiam: habetis             iudicium quod ante praedixi\'."
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:1.7","Tunc illud miseris Euangelista recitabit: cite in tenebras exteriores,             ubi erit fletus et stridor dentium. o miseri,             quos ista non permouent: uidebunt suam poenam et aliorum gloriam.             utantur saeculo, dum aeternitate illa, quae sanctis praeparata est,             non fruantur: affluant diuitiis, auro incubent, dum ibi egentes, ibi             inopes deprehendantur: sint in saeculo diuites, dum in aeternitate             sint pauperes, de quibus scriptum est: \'diuites eguerunt et             esurierunt\'. consequentia autem de bonis scriptura subiecit: \'inquirentes            autem Dominum non deficientur omni bono\'.             Itaque, soror, licet nos isti irrideant, licet nos stultos infelicesque             commem orent, felicius gaudeamus opprobriis, quibus nobis gloria,             illis poena cumulatur. nec rideamus illorum stultitiam, sed potius             infelicitatem doleamus, quia inter illos pars magna nostrorum est,             quos si lucri facere possimus, augetur in nobis gloria. sed agant se             ut uolunt, sint nobis tanquam gentiles et publicani: nos uero saluos             incolumesque tueamur. si illi nunc nobis dolentibus gaudent, nos             postea in illorum dolore gaudebimus. uale, soror carissima et in             Christo dilectissima. 15 Matth. 22, 13. 25, 30. 21 Pa. 33, 11. 22 ibid.  1 poasitia Cb 7 martyrum Baluzius: maturum C 22 conaequenter            b 23 deticienturMON: deficient Cb 28 lucrificare b 29 puplicani            C 32 Explicit epistola seueri presbyteri ad claudiam aororem Buam.             Incipit epistola sancti aeueri ad eandem de uirginitate C "
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:2.1","n. Epistula S. Seueri ad Claudiam sororem de uirginitate. Quantam in caelestibus beatitudinem uirginitas sancta possideat,              praeter scripturarum testimonia ecclesiae etiam consuetudine edocemur,             qua discimus peculiare illis subsistere meritum, quarum specialis est             consecratio. nam cum uniuersa turba credentium paria gratiae dona.             percipiat et isdem omnes sacramentorum benedictionibus glorientur,             istae proprium aliquid prae ceteris habent, cum de illo sancto et inmaculato            ecclesiae grege quasi sanctiores purioresque hostiae pro uoluntatis            suae meritis a sancto spiritu eliguntur et per summum sacerdotem            Dei offeruntur altario. digna. reuera Domino hostia tam pretiosi            animalis oblatio, et nulla magis ei quam imaginis suae hostia             placitura. de huiusmodi enim Apostolum praecipue dixisse reor:             Obsecro autem uos, fratres, per misericordiam Dei ut             exhibeatis corpora uestra hostiam uiuentem, sanctam,             Deo placentem. possidet ergo uirginitas et quod alii habent et             quod alii non habent, dum et communem et peculiarem obtinet gratiam,            et proprio, ut ita dixerim, consecrationis priuilegio gaudet.             nam et Christi sponsas uirgines dicere ecclesiastica nobis permittit 13 Rom. 12, 1.  3 Quantum .B 4 ecclesiae iam F 5 qua jlF; quia CJ?, qai\'JR j)             discimus CH\\\' addiscimus AVb, addiscimor JX )) illie — quarum Y: illicuius             ACHR jt eat specialis C 6 dona gratiae C 7 percipiant F             t) hisdem CJBV, eisdem H tt omnium V 8 ista ad A )) ImbeQdum deJLjR             t) cum R: dum CV 11 digna - placentem Mn. A t) hostia om. RV             12 nulla magis ei RV: nullius magis C )) quam 2! corr. ex quia, quum             F j) saae imaginis C 13 eiusmodi J! 14 per miseric. Dei OMt. BV             15 uiuentem -BV: uiuam C 17 dum communem A|| pec. habet gratiam            F  15              auctoritas, dum in sponsarum modum quas consecrat Domino uelat,             ostendens eas uel maxime habituras spirituale conubium quae subterfugerint            carnale consortium. et digne Deo per matrimonii comparationem            spiritualiter copulantur quae eius dilectionis causa humana             conubia spreuerunt."
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:2.2"," in his quam maxime illud impletur Apostoli:             qui autem adhaeret Domino, unus spiritus est. grande             est enim et inmortale, paene ultra naturam corpoream, sopire luxuriam            et concupiscentiae flammam adolescentiae facibus accensam             animi uirtute restinguere, spirituali conatu uim genuinae oblectationis            excludere, uiuere contra humani generis morem, despicere solacia             coniugii, dulcedinem contemnere liberorum, et quaecumque             praesentis uitae esse commoda possunt, pro nihilo spe futurae beatitudinis            computare. magna haec, ut dixi, et admirabilis uirtus est et             non inmerito pro magnitudine laboris sui ingenti praemio destinata.             Dabo inquit spadonibus, dicit Dominus, in domo mea et             in muro meo locum nominatum meliorem a filiis et             filiabus; nomen aeternum dabo eis et non deficiet. de             quibus spadonibus Dominus in euangelio repetit dicens: sunt enim             spadones, qui se ipsos castrauerunt propter regnum             caelorum. Magnus quidem est pudicitiae labor, sed maius est praemium,             temporalis custodia, sed remuneratio aeterna. de his enim et             beatus Iohannes Apostolus loquitur quod sequantur agnum 6 I Cor. 6, 17. 15 Isai. 56, 5. 18 Matth. 19, 12. 22 Apoc. 14. 4  1 dum sponsarum modo C )] quas AR: quam F, eaa C )) domino             coMecrat C )) uelat AH: ualeat I!, et uelat C, uoueat F 2 ostendens            — Apostoli om. 2: )) spiritale ACR 4 copulantur apuitQaliter            F 5 completur (7 6 adhaeret deo C\' )) est spiritus C j) grande             — custoditur (pag. 228, 5) om. J. 7 enim F: om. CJR )) mortalem F             )t et paene H )) sopire .RF: superaTe C, frenare ed. Vall. 8 flammam             JBF: palmam ]C, spasmeam b )) facibus MstMotem ed. Vall. 9 spiiituali            F: et spiritali CR ij oblationis 2! 10 et uiuere C )) morem RV:             legem C 11 coniugii C: coniugtun.BF )( etoM. R 12 possimt C             14 magnitudinis J! )) destinatur C 15 dabo, inquit (ae. propheta)             apadoniboa, dicit (dicit om. R) dominus RV: dabo inquit Dominus spadonibus            meis 2f, dabo spadonibusdicit dena et C 16 a NF: et CJB j) filiabus             IsraeljEf 17 cis RV: illis C\')) et CRV: quodJEf; hoc quidem est in Vulgata             \'qcod non peribit\', sed MtZXX: ϰαὶ oJx ἐϰλείψει )) deficient RV 18 enim]             autem r 20 est quidem CR jj est (post maius) ow. H 21 aeterna est C ))             etenim F 22 apoatolus Iohannes C )) quod CJ\'!: qui F )) secuntur HV              quocumque ierit. quod ita intellegendum puto, nullum eis locum in             caelesti aula claudendum et cuncta eis diuinarum mansionum habitacula            reseranda."
"urn:cts:latinLit:stoa0270p.stoa001.opp-lat1:2.3","Sed ut inlustrius uirginitatis meritum clareat et quam Deo digna              sit manifestius possit intellegi, illud cogitetur, quod Dominus et saluator            noster Deus, cum propter humani generis salutem hominem             dignaretur adsumere, non alium quam uirginalem elegerit uterum, ut             uirtutem huiusmodi plurimum sibi complacere monstraret: et ut pudicitiae            bonum utrique sexui intimaret, uirginem habuit matrem             uirgo ipse permansurus: in so uiris et in matre feminis praebuit             uirginitatis exemplum, quo demonstraretur in utroque sexu beatam            et integram diuinitatis habitare plenitudinem meruisse , dum             totum in matre fuit quicquid habitabat in filio. sed quid ego satisago            excellens ac sublime pudicitiae meritum reuelare et gloriosum             bonum uirginitatis ostendere, cum de hac re plerosque perorasse             non nesciam et eius beatitudinem manifestissimis rationibus conprobasse,            et nulli sapienti uenire in dubium possit eam rem             maioris esse meriti, quae sit amplioris laboris? quisquis enim             pudicitiam ant nullius praemii aut parui existimat, certum est illum             aut ignorare aut non uoluntarium eius ferre laborem. unde illi             semper castitati derogant qui eam aut non habent aut habere coguntur            inuiti. 1 puta JB II locum eie nullum F 2 et RF: sed C 4 digna             deo ait F, digna sit deo C 5 intellegi possit C II recogitetur RV             II dominus saluator noater (MtM Deua) V 6 hominem CR: carnem r             7 uterum elegerit C II ut CRV: et H 8 nirtutem F: OM. CR             II complacere CRY: placere Hb II et ut CNV: et H 9 utriNque F             II intimaret. Virginem b II matrem habuit C 10 uirgo ipse permanBQrus            F: uirgo mansurua CR t) uiris sed Clericus 11 quod CX             )) demonstrator C II beatam et integram diu. habitare plenit. F: beatam            integritatem diuinitatis haberi (haben et -H) plenitudinem RB,             beatam integritatem diuinitatis habere plenitudinem C 13 totum BF:             tantum C j) habitabat R: habebat C, habitaret F, habebatnr JEf             et ed Vall. j) quod F j) satago JT 14 mentum pudicitiae F II gloriosum            V: gloriosae CR 15 uirginitatis bonum RF 16 nonne             etiam R II orationibus V 17 sapientium V t) in dubium uenire b             (tMW C) t) poaM J! 18 quisque V 20 uoluntarie C )) ciaa OM.             J! j) referre F II unde R: inde CY 21 castitatem qui etiam dcrogant            jR  15* "
