"","form","lemmata"
"ἅ","ἅ","ὁ;ὅς"
"ἀάπτους","ἀάπτους","ἄαπτος"
"ἄγαγε","ἄγαγε","ἄγω"
"ἀγαθός","ἀγαθός","ἀγαθός"
"ἀγαμέμνονα","ἀγαμέμνονα","ἀγαμέμνονα"
"ἀγαμέμνονι","ἀγαμέμνονι","ἀγαμέμνονι"
"ἀγαμέμνονος","ἀγαμέμνονος","ἀγαμέμνονος"
"ἀγαμέμνων","ἀγαμέμνων","ἀγαμέμνων"
"ἀγάννιφον","ἀγάννιφον","ἀγάννιφος"
"ἄγγελοι","ἄγγελοι","ἄγγελος"
"ἄγε","ἄγε","ἄγε;ἄγω"
"ἄγειν","ἄγειν","ἄγω"
"ἀγείρομεν","ἀγείρομεν","ἀγείρω"
"ἀγέμεν","ἀγέμεν","ἄγνυμι;ἄγω"
"ἀγέραστος","ἀγέραστος","ἀγέραστος"
"ἀγλά̓","ἀγλά̓","ἀγλά̓"
"ἀγλαὰ","ἀγλαὰ","ἀγλαός"
"ἄγοντες","ἄγοντες","ἄγω"
"ἀγόρευε","ἀγόρευε","ἀγορεύω"
"ἀγορεύειν","ἀγορεύειν","ἀγορεύω"
"ἀγορεύεις","ἀγορεύεις","ἀγορεύω"
"ἀγορεύω","ἀγορεύω","ἀγορεύω"
"ἀγορὴν","ἀγορὴν","ἀγορά"
"ἀγορήσατο","ἀγορήσατο","ἀγοράομαι"
"ἀγορητής","ἀγορητής","ἀγορητής"
"ἄγουσι","ἄγουσι","ἄγω"
"ἄγω","ἄγω","ἄγαμαι;ἄγω"
"ἄγων","ἄγων","ἄγω;ἀγάω"
"ἀδάκρυτος","ἀδάκρυτος","ἀδάκρυτος"
"ἄειδε","ἄειδε","ἀείδω"
"ἄειδον","ἄειδον","ἀείδω"
"ἀείδοντες","ἀείδοντες","ἀείδω"
"ἀεικέα","ἀεικέα","ἀεικής"
"ἀέκοντε","ἀέκοντε","ἀέκων"
"ἀέκοντος","ἀέκοντος","ἀέκων"
"ἀέκουσ̓","ἀέκουσ̓","ἀέκουσ̓"
"ἁζόμενοι","ἁζόμενοι","ἅζομαι"
"ἀθανάτοιο","ἀθανάτοιο","ἀθάνατος"
"ἀθανάτοισι","ἀθανάτοισι","ἀθάνατος"
"ἀθανάτοισιν","ἀθανάτοισιν","ἀθάνατος"
"ἀθέριζον","ἀθέριζον","ἀθερίζω"
"ἀθηναίην","ἀθηναίην","ἀθηναίην"
"ἀθηναίης","ἀθηναίης","ἀθηναίης"
"ἀθήνη","ἀθήνη","ἀθήνη"
"αἴ","αἴ","αἴ;εἰ"
"αἳ","αἳ","ὁ;ὅς"
"αἴαντος","αἴαντος","αἴαντος"
"αἴας","αἴας","αἶα"
"αἰγαίων̓","αἰγαίων̓","αἰγαίων̓"
"αἰγεΐδην","αἰγεΐδην","αἰγεΐδην"
"αἰγιόχοιο","αἰγιόχοιο","αἰγίοχος"
"αἰγλήεντος","αἰγλήεντος","αἰγλήεις"
