"","form","lemmata"
"a","a","a"
"ab","ab","ab"
"aberrante","aberrante","aberrare"
"aberravit","aberravit","aberrare"
"abiciet","abiciet","abicere"
"abiecisset","abiecisset","abicere"
"abigeret","abigeret","abigere"
"abiit","abiit","abire"
"abillo","abillo","abillo"
"abistis","abistis","abire"
"abite","abite","abire;abitere"
"abscondit","abscondit","abscondere"
"absenti","absenti","absens;absentium"
"absentivos","absentivos","absentivus"
"abstinax","abstinax","abstinax"
"abstulerunt","abstulerunt","auferre"
"abundanti","abundanti","abundans;abundare"
"ac","ac","ac"
"accede","accede","accedere"
"accedere","accedere","accedere"
"acceperant","acceperant","accipere"
"acceperat","acceperat","accipere"
"acceperit","acceperit","accipere"
"accepi","accepi","accipere"
"accepisset","accepisset","accipere"
"accepit","accepit","accipere"
"acceptus","acceptus","acceptus;accipere"
"accersere","accersere","accersere"
"accessere","accessere","accedere"
"accesserunt","accesserunt","accedere"
"accessi","accessi","accedere"
"accessimus","accessimus","accedere"
"accessisset","accessisset","accedere"
"accessit","accessit","accedere"
"accipere","accipere","accipere"
"accipiam","accipiam","accipere"
"accipiebat","accipiebat","accipere"
"accipiet","accipiet","accipere"
"accipimus","accipimus","accipere"
"accipit","accipit","accipere"
"accumbebat","accumbebat","accumbere"
"accuratissime","accuratissime","accuratus"
"accurrit","accurrit","accurrere"
"acetabula","acetabula","acetabulum"
"aceto","aceto","acere;acetare;acetum"
"achilli","achilli","achilli"
"acia","acia","acia"
"acidior","acidior","acidus"
"acido","acido","acidus"
"acidum","acidum","acidus"
"acroama","acroama","acroama"
"acroamata","acroamata","acroama"
"acta","acta","acta;acte;actum;agere"
"actuarius","actuarius","actuarius"
"actum","actum","actum;actus;agere"
"actus","actus","actus;agere"
"acu","acu","acus"
"acutissima","acutissima","acutus"
"acutum","acutum","acutus;acuere"
"ad","ad","ad"
"adcognosco","adcognosco","adcognosco"
"adduci","adduci","adducere"
"adducti","adducti","adductus;adducere"
"adductus","adductus","adductus;adducere"
"adeo","adeo","adeo;adire"
"adhibete","adhibete","adhibere"
"adhuc","adhuc","adhuc"
"adicere","adicere","adicere"
"adici","adici","adicere"
"adiecit","adiecit","adicere"
"adiecta","adiecta","adicere"
"adiectum","adiectum","adicere;adiectus"
"aditu","aditu","adire;aditus"
"adiutasses","adiutasses","adiutare"
"admiratione","admiratione","admiratio"
"admissus","admissus","admissus;admittere"
"admonet","admonet","admonere"
"admonitum","admonitum","admonere;admonitus"
"admonitus","admonitus","admonere;admonitus"
"admonitusque","admonitusque","admonere;admonitus"
"admovit","admovit","admovere"
"adrasum","adrasum","adradere"
"adspersos","adspersos","adspersos"
"adulescentulo","adulescentulo","adulescentulus"
"adulescentulus","adulescentulus","adulescentulus"
"adurebat","adurebat","adurere"
"advenerunt","advenerunt","advenire"
"adversarius","adversarius","adversarius"
"adversus","adversus","adversus;advertere"
"aedes","aedes","aedes;aedis"
"aedibus","aedibus","aedes;aedis"
"aedicula","aedicula","aedicula"
"aedificas","aedificas","aedificare"
"aedificavi","aedificavi","aedificare"
"aedifico","aedifico","aedificare"
"aedilem","aedilem","aediles;aedilis"
"aediles","aediles","aediles;aedilis"
"aedilium","aedilium","aediles;aedilis"
"aegyptius","aegyptius","aegyptius"
"aeneas","aeneas","aeneus"
"aeneolosque","aeneolosque","aeneolus"
"aeneum","aeneum","aeneus"
"aenigma","aenigma","aenigma"
"aeno","aeno","aenum;aenus"
"aequavit","aequavit","aequare"
"aeque","aeque","aeque;aequus;aere"
"aequo","aequo","aequare;aequum;aequus"
"aequum","aequum","aequum;aequus"
"aera","aera","aerare;aera;aer;aes"
"aerarium","aerarium","aerarium;aerarius"
"aerarius","aerarius","aerarius"
"aerumnas","aerumnas","aerumna"
"aerumnosi","aerumnosi","aerumnosus"
"aes","aes","aes"
"aestimant","aestimant","aestimare"
"aestum","aestum","aestum;aestus"
"aetatem","aetatem","aetas"
"aethiopes","aethiopes","aethiopes"
"affabilitate","affabilitate","affabilitas"
"affer","affer","affari;afferre"
"afferre","afferre","afferre"
"afferri","afferri","afferre"
"affirmabat","affirmabat","affirmare"
"affixa","affixa","affigere;affixus"
"africam","africam","africam"
"africanam","africanam","africanam"
"agaga","agaga","agaga"
"agamemnon","agamemnon","agamemnon"
"agamemnone","agamemnone","agamemnone"
"agamemnonem","agamemnonem","agamemnonem"
"agamemnoni","agamemnoni","agamemnoni"
"agamemnonis","agamemnonis","agamemnonis"
"agant","agant","agere"
"agatho","agatho","agatho"
"agellis","agellis","agellus"
"agens","agens","agens;agere"
"agere","agere","agerere;agere;ager"
"ageret","ageret","agerere;agere"
"aggredimur","aggredimur","aggredere;aggredi"
"agimus","agimus","agere"
"aginavi","aginavi","aginare"
"agite","agite","agere;agite"
"ago","ago","agere"
"agri","agri","agrius;ager"
"agrum","agrum","ager"
"agunt","agunt","agere"
"aiax","aiax","aiax"
"aiebat","aiebat","aere;aio"
"ait","ait","aere;aio"
"aiunt","aiunt","aere;aio"
"ala","ala","ala;alum"
"alabastris","alabastris","alabastris;alabastrum;alabastrus;alabaster"
"alapa","alapa","alapare;alapa"
"alba","alba","albare;alba;album;albus"
"albam","albam","alba;albus"
"albas","albas","albare;alba;albus"
"albi","albi","album;albus"
"albis","albis","alba;album;albus"
"alexandrinis","alexandrinis","alexandrinis"
"alexandrinus","alexandrinus","alexandrinus"
"algentes","algentes","algentes"
"alia","alia","alia;alium;alius"
"aliaque","aliaque","alia;alium;alius"
"alias","alias","alias;alia;alius"
"alicuius","alicuius","aliquis;aliqui"
"alicula","alicula","alicula"
"alienum","alienum","alienum;alienus"
"alii","alii","alium;alius"
"aliisque","aliisque","alia;alium;alius"
"alio","alio","alio;alium;alius"
