"","αὐτός_λέγω_καί_δέ_ἰησοῦς_ἀποκρίνομαι_πρός","καί_σύ_ἐν_ἐγώ_πᾶς_δέ_ἔχω","σύ_λέγω_ὅτι_καί_εἰμί_οὐ_οὗτος","λέγω_καί_αὐτός_δέ_σύ_τίς_ἀκούω","καί_ἐγώ_οὐ_εἰμί_μή_ὅς_σύ","καί_εἰς_θεός_ἐν_οὗτος_γάρ_εἰμί","καί_εἰς_αὐτός_δέ_ἐν_γίνομαι_εἰμί","οὐ_εἰμί_γάρ_σύ_μή_ἐγώ_αὐτός","ἐν_καί_χριστός_σύ_ἐγώ_ἰησοῦς_κύριος","ἐν_καί_εἰμί_ἡμέρα_ἐγώ_δέ_ὅς","καί_αὐτός_ἐπί_ἐν_ἐκ_οὐρανός_γῆ","σύ_καί_αὐτός_ἐγώ_μή_οὐ_δέ","καί_αὐτός_εἰς_δέ_εἰσέρχομαι_ἐξέρχομαι_ἀπό","καί_ἐγώ_σύ_αὐτός_εἰμί_πατήρ_θεός","καί_αὐτός_ἐγώ_ἐπί_σύ_χείρ_ἄνθρωπος","καί_εἰμί_λέγω_ἐγώ_θεός_αὐτός_ἐν","καί_μή_εἰς_οὐ_αὐτός_εἰμί_γάρ","καί_αὐτός_δέ_λέγω_μετά_ἀρχιερεύς_εἷς","καί_δέ_εἰμί_ἐν_αὐτός_γίνομαι_μή","καί_αὐτός_πᾶς_ἐπί_ἐν_εἰς_ἐκ"
"καί",0.081480830707144,0.0484393700600789,0.038319922408219,0.0605943059214087,0.0536553899959035,0.0394316152510233,0.0956672214237083,0.0224674749523437,0.0586526648717882,0.0516891802058127,0.14959051385559,0.0595117233052998,0.104925597516669,0.087352214159895,0.119187081676998,0.0729149198340539,0.076571944797397,0.148306277216577,0.053514228593937,0.126961307812372
"αὐτός",0.139294783140998,0.0158521845264193,0.0272439351485978,0.0568355404804003,0.0214028480064566,0.0216350726896713,0.0381426986408452,0.0250348196119459,0.00947865750058813,0.0137972983753025,0.0730893492619687,0.0430483337677839,0.0668195548379014,0.0366102948105514,0.0812155258242916,0.0320846062426633,0.0205687718963225,0.124052048464022,0.0315897824649023,0.0535872982681493
"σύ",0.0103469970752942,0.045180651506713,0.0645131355221879,0.0336815453637884,0.0236956827450429,0.00874792117972667,3.15202864563633e-06,0.0308113450960508,0.0555486577619782,0.0186168798362007,3.41523056221526e-06,0.0720307590994526,3.48000389760437e-06,0.057450725971889,0.021442119721227,0.0176846295742711,0.0113879238797529,0.000744290073170009,3.71600781848045e-06,3.73404628723778e-06
"δέ",0.062918017548235,0.0244433516216569,0.0246994515889551,0.0393948688341212,0.00734012827646084,0.0179530294011157,0.0367242857503089,0.0219860978286683,0.0106222390673602,0.0254307708671258,0.00307712273655594,0.0212686413587784,0.0262775094308106,0.0146825368060136,0.00890605582727121,0.0127631185610231,0.0139585613243924,0.0353667387504814,0.0447816102205079,3.73404628723778e-06
"ἐν",2.83401727616932e-06,0.0445881572242828,0.0101809277486409,0.0150380687763865,0.00596442743330908,0.0296128331482084,0.0316810399172908,0.00594019370615457,0.0625735159578639,0.0553454144175286,0.0223731754130721,0.0190392240255731,0.0123574938403931,0.024649699535349,0.0169000675857358,0.0291681552718497,0.0130404765227355,0.00389178540747104,0.0317755828558263,0.0246484395420566
"ἐγώ",0.0177154419933344,0.0308126651577812,0.0278426371626314,0.0138352638352638,0.0487640092202528,0.0121231275275693,3.15202864563633e-06,0.0259975738592967,0.0506475939043835,0.0289208126146728,3.41523056221526e-06,0.0373890436142628,3.48000389760437e-06,0.0578131682529557,0.0272559464546558,0.0359124481418562,0.00881728643511344,3.70293568741298e-06,0.0137529449361961,3.73404628723778e-06
"εἰμί",0.00793808239055025,0.00637227600753653,0.0332309552889336,0.0272164688052539,0.031032753908519,0.0225555835118102,0.0198609324961545,0.0332182307144278,0.013562877381917,0.0405542851064961,3.41523056221526e-06,0.00926408648767304,0.0118354932557524,0.0335295354214841,3.63364170839299e-06,0.0468491392824072,0.0183653683723458,3.70293568741298e-06,0.0356773910652308,0.0175537515963048
"λέγω",0.109962704332646,2.96247141215087e-06,0.0633157314941207,0.0637516688918558,0.00734012827646084,3.06836940712966e-06,0.000160753460927453,0.0107539649429087,3.26737590506313e-06,3.32384928337809e-06,3.41523056221526e-06,0.0181817558204942,0.00783348877350743,3.6244228106674e-06,0.0150832467315393,0.0413807937121317,3.67233920662784e-06,0.0281460141600261,3.71600781848045e-06,3.73404628723778e-06
"εἰς",2.83401727616932e-06,0.0152596902439891,2.99351007016788e-06,3.00701235280675e-06,0.00627013873178725,0.0392781967806668,0.0592612905666087,3.20918082450274e-06,0.0161767781059675,0.00299478820432366,0.0141766220637555,0.00977856741072041,0.064905552694219,3.6244228106674e-06,0.014174836304441,0.00237326197749958,0.028280684230241,3.70293568741298e-06,3.71600781848045e-06,0.0216612025122663
"οὐ",0.00864658670959258,0.0195552737916079,0.0330812797854252,0.0169926268057109,0.0463183188324274,0.0185667032825416,3.15202864563633e-06,0.0446108226414125,3.26737590506313e-06,0.0129663360544579,3.41523056221526e-06,0.0253844887431574,3.48000389760437e-06,0.00254072039027785,3.63364170839299e-06,3.64556371351702e-06,0.0220377075789737,3.70293568741298e-06,0.0059493285173872,3.73404628723778e-06
