"","influence_has_held_powerful_divitiacus_less_dumnorix","you_general_entire_received_going_labour_however","suddenly_gates_fighting_weapons_cast_rampart_small","winter_remi_belgae_treviri_received_send_crassus","sequani_give_conference_pass_allobroges_promised_return","cut_forth_determined_provisions_therefore_although_quickly","hill_position_mountain_guard_action_seen_nature","set_cohorts_during_scouts_italy_marches_cicero","now_towns_surrender_peace_found_possessions_neighbours","wall_feet_works_manner_raised_stones_work","ambiorix_winterquarters_nervii_eburones_death_will_greater","quarter_action_hand_right_long_thus_fight","centurions_valour_horses_courage_observed_within_barbarians","suevi_above_bridge_woods_treviri_nations_beyond","sea_ocean_britain_island_continent_violence_storm"
"cut",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.0192325535158062,0.00134765494696111,0.00642953881245991,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.000963263764283691,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"danger",1.00608682529302e-05,0.0058327027184353,0.00904873787577565,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.000758985043530025,1.78110250244902e-05,0.00903598160339075,1.88875247898763e-05,0.00514396966902347,2.06206825445922e-05,2.62157556691572e-05
"now",1.00608682529302e-05,0.00408638453926305,0.00543406229290921,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00286549290754865,0.0156410447205893,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"position",0.00353136475677851,1.16421211944816e-05,0.00724140008434243,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.0146907732337047,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"another",0.00604658182001107,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00803277228604506,1.80358914239336e-05,0.00662952120124658,0.011292140588175,0.0010516548097742,2.62157556691572e-05
"baggage",1.00608682529302e-05,0.0058327027184353,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00730333355424481,0.00601774634732137,0.00429111126951315,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00414475719146304,2.62157556691572e-05
"give",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.00303525001511579,0.0131979695431472,1.32546888461793e-05,0.00935352591900727,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.000963263764283691,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"has",0.0130891895970622,1.16421211944816e-05,0.00242183264052051,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.0103309619548407,2.62157556691572e-05
"influence",0.0181196237235273,1.16421211944816e-05,0.00181938671004277,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.000908362276248998,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"manner",1.00608682529302e-05,0.00641480877815938,1.20489186095548e-05,0.00182598706088639,1.31847847583888e-05,1.32546888461793e-05,0.00735205817599573,1.4256183619645e-05,1.48820596770593e-05,0.0133760797933921,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
