"","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"pes",1.56526366866499e-05,0.0174734232897516,0.00552932747947168,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.0154279551907036,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"supra",0.0109724983173416,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,0.00809495932333407,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.0101150559580147,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.0126909981146411,2.85820447594821e-05
"nox",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,0.00188127479650567,0.0272725437551729,2.08389772229979e-05,0.0105948780848859,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"placere",1.56526366866499e-05,0.00263585106568681,1.83698587357863e-05,0.0101967170642338,0.00933186804999348,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.0124135445062744,2.3930887596621e-05,0.00130478164095479,0.0042490924951459,2.85820447594821e-05
"quia",0.0109724983173416,1.74559673224292e-05,1.83698587357863e-05,0.0101967170642338,1.86264831337195e-05,0.00607626622524578,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00839974154641396,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"solere",0.0125377619860065,0.0069998428962941,0.00461083454268237,0.00649554934581861,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00241701964725872,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"terra",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.00442370755111473,0.00675084665934017,2.25291188861604e-05,2.3930887596621e-05,0.00386317701537596,0.0225398880040521,0.0128905021865264
"nasci",0.00471144364268161,0.00874543962853701,1.83698587357863e-05,1.85058385920758e-05,0.0046752472665636,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.0157220714558055,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.00284210822523004,2.85820447594821e-05
"vultus",1.56526366866499e-05,1.74559673224292e-05,0.0128772709737862,0.0129725928530451,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.0101606326176583,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"alter",1.56526366866499e-05,0.00438144779792972,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.0179648776549218,0.00452835289611823,2.3930887596621e-05,0.0077007700770077,2.81396853983172e-05,0.00717409323463
