"","identifier","text","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"1","urn:cts:latinLit:phi0972.phi001:1.1","num alius genus furia declamator inquietare quis clamare hic vulnus pro libertas publicus excipere hic oculus pro tu impendere dare ego dux quis ego ducere ad liber meus nam succidere poples membrum non sustinere","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.700699300699301","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.211188811188811","0.0013986013986014","0.0713286713286713","0.0013986013986014"
"2","urn:cts:latinLit:phi0972.phi001:1.2","hic ipse tolerabilis esse sium ad eloquentia ire via facere nunc et res tumor et sententia vanus strepere hic tantus proficere ut cum in foris venire putare se in alius orbis terra deferre","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.178761061946903","0.0902654867256637","0.0902654867256637","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.621238938053097","0.00176991150442478","0.00176991150442478"
"3","urn:cts:latinLit:phi0972.phi001:1.3","et ideo ego adulescentulus existimare in schola stultus fieri quia nihil ex hic quis in usus habere aut audire aut videre sed pirata cum catena in litus stare sed tyrannus edictare scribere quis imperare filius ut pater suus caput praecidere sed respondere in pestilentia dare ut virgo tres aut multus immolare sed mellitus verbum globulus et omnis dicere facere quasi papaver et sesamon spargere","0.412345679012346","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.0831275720164609","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.000823045267489712","0.288888888888889","0.000823045267489712","0.206584362139918"
"4","urn:cts:latinLit:phi0972.phi001:2.1","quis inter hic nutrire non maga sapere posse quis bonus olere quis in culina habitare","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767"
"5","urn:cts:latinLit:phi0972.phi001:2.2","pax vester licere dicere prae omnis eloquentia perdere levis enim at inanis sonus ludibrium quidam excitare efficere ut corpus oratio enervare et cadere","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.0766917293233083","0.00150375939849624","0.00150375939849624","0.603007518796993","0.00150375939849624","0.15187969924812","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.15187969924812","0.00150375939849624"
"6","urn:cts:latinLit:phi0972.phi001:2.3","nondum iuvenis declamatio continere cum sophocles aut euripides invenire verbum quis debere loqui","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.961643835616438","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"7","urn:cts:latinLit:phi0972.phi001:2.4","nondum umbraticus doctor ingenium delere cum pindarus novare lyricus homericis versus canere timere","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.320634920634921","0.00317460317460317","0.638095238095238"
"8","urn:cts:latinLit:phi0972.phi001:2.5","et nere poetare quidem ad testimonium citare certus nere platon nere demosthenen ad hic genus exercitatio accedere videre","0.612121212121212","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"9","urn:cts:latinLit:phi0972.phi001:2.6","grandis et ut itare dicere pudicus oratio non esse maculosus nec turgidus sed naturalis pulchritudo exsurgere","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"10","urn:cts:latinLit:phi0972.phi001:2.7","nuper ventosus istaec et enormis loquacitas athenas ex asia commigrare animus iuvenis ad magnus surgere veluti pestilens quidam sidus afflare semel corrumpere regulare eloquentia stare et obmutescere","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.0902654867256637","0.00176991150442478","0.0902654867256637","0.798230088495575","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
