"","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"pes",2.24029392656317e-05,0.018209925659854,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.00739605740047735,2.96850417074836e-05,0.0284841405337407,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"supra",0.00786343168223671,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,0.0265256909664255,2.65343487144108e-05,0.00550127268248625,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.0133879538100751,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"nox",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,0.00259726901020907,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.0111274523406499,0.040320115597299,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"placere",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,0.00258728898224761,2.57155347545452e-05,0.00930121631290245,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.00997527495950209,0.00886937560774376,0.0148722058954493,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,0.011883400480753
"quia",0.00674328471895513,2.27339895878328e-05,2.5551268620487e-05,0.00130645285242206,0.00131149227248181,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.00835252656991425,0.00836413149192764,2.81396853983172e-05,2.8379260436473e-05,0.00997527495950209,2.94663641453281e-05,2.96850417074836e-05,0.00302512954143828,3.06400710849649e-05,0.0140118681455246,3.18603243381018e-05,3.3855841825507e-05
"solere",2.24029392656317e-05,2.27339895878328e-05,0.012801185578864,0.0115531418910265,2.57155347545452e-05,0.00400137795797228,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,0.00975352210520466,0.00284210822523004,0.00144734228226012,2.84195867792082e-05,0.00886937560774376,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"terra",0.00562313775567354,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.00847004530489349,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.00745094546857838,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,0.0143690062764839,0.022040153028405
"nasci",0.00450299079239196,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.0356077400990776,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,0.00152754065953814,3.06400710849649e-05,3.1068443781651e-05,0.00958995762576863,3.3855841825507e-05
"vultus",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,0.00388304574793633,2.64991917746509e-05,0.0172738610130814,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.0183189351943045,2.8379260436473e-05,2.84195867792082e-05,0.00297610277867814,2.96850417074836e-05,2.99517776380028e-05,0.00922266139657444,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"alter",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.0328707885157512,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,0.0113800834350257,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,0.00624475720011185,3.18603243381018e-05,3.3855841825507e-05
