"","mihi_te_si_quod_me_qui_quam","si_quid_unquam_quem_manu_mortuum_sibi","quid_quod_quam_mihi_si_illa_magis","coepit_eius_fortunata_atque_haec_sunt_subinde","qui_illum_hoc_omnia_summam_mei_cito","erat_quae_altera_qui_quo_terram_habebat","ne_trimalchionis_minus_puerum_me_nos_iussit","quod_quid_quem_qui_me_respiciens_sunt","tibi_ita_bene_me_nos_qui_tuum","hoc_si_illi_plane_nostrum_qua_c","haec_factus_aliquot_quemadmodum_omnia_circa_heu","si_quod_hoc_fuit_illius_die_male","quam_me_postquam_coepi_esset_plus_quomodo","me_mihi_ne_meam_ideo_meo_sine","omnia_quae_mea_fecit_vestimenta_iussit_ab","sunt_ne_servi_unum_omnes_cocus_ova","hoc_omnes_pedes_post_nos_aquam_accepit","quam_nos_quid_quo_quare_ait_illi","nos_qui_ceterum_erat_pedes_subito_amat","nobis_suam_deinde_quae_pro_dedit_habebat"
"qui",0.0405259608900877,8.07754442649435e-05,0.0215821152192605,0.00903398926654741,0.113417951042611,0.0407039711191336,9.77517106549365e-05,0.0303121852970796,0.0303121852970796,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0631778058007566,0.000131926121372032
"si",0.0472690492245448,0.0808562197092084,0.0344797936371453,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.010171198388721,0.000100704934541793,0.0662258392675483,0.000104384133611691,0.059375,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.00672823218997361
"me",0.0438975050573163,0.00411954765751212,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,0.0294232649071359,0.0303121852970796,0.0403826787512588,0.000101729399796541,0.000104384133611691,0.0162715517241379,0.0724944320712695,0.0939038686987104,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"quid",0.0304113283884019,0.048546042003231,0.0774720550300946,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0403826787512588,0.000100704934541793,0.0204476093591048,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0235638921453693,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.0374844333748443,0.000126103404791929,0.000131926121372032
"quod",0.0472690492245448,0.00815831987075929,0.0559759243336199,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0907351460221551,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.059375,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0064312736443884,0.00672823218997361
"quam",0.0371544167228591,8.07754442649435e-05,0.051676698194325,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.0780623608017817,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.00612244897959184,0.0686176836861768,0.000126103404791929,0.000131926121372032
"hoc",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.0363553943789665,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.0763987792472024,0.000104384133611691,0.0432112068965517,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.0182367149758454,0.0601440576230492,0.00012453300124533,0.000126103404791929,0.000131926121372032
"mihi",0.0573836817262306,0.00815831987075929,0.0473774720550301,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0821805392731536,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"nos",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0046028880866426,0.0294232649071359,0.010171198388721,0.0353474320241692,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.0301320528211284,0.0623910336239103,0.0694829760403531,0.000131926121372032
"erat",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0813176895306859,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.0105427974947808,0.000107758620689655,0.016815144766147,0.0118405627198124,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0379571248423707,0.000131926121372032
