"","non_nec_sed_quid_est_ad_ego","in_tibi_tu_quid_te_non_et","et_est_ego_quod_tamen_si_non","non_est_et_de_si_in_ex","trimalchio_ad_sed_et_non_est_cum","et_in_mihi_nos_nihil_trimalchio_inquit","est_non_aut_quid_modo_in_inquit","et_in_quam_tamen_ne_habet_quae","et_trimalchio_inquit_non_cum_haec_me","in_et_ut_ad_manus_se_quo","et_qui_est_itaque_tanquam_cum_plane","in_et_cum_iam_quo_dum_sum","de_me_ut_esset_sed_nisi_ego","et_in_sunt_cum_ex_etiam_nos","ad_et_omnes_statim_si_summam_sunt","in_ad_haec_cum_ut_esse_quod","et_super_inquit_habinnas_familia_ac_medio","eius_qui_per_coepit_ad_ille_post","quae_altera_pro_super_erat_a_nobis","cum_et_trimalchio_atque_inter_autem_nostrum"
"et",3.8229222417616e-05,0.0317127246812891,0.0865933875714038,0.0562318569154415,0.0355789274208831,0.0885307059498757,5.28876665961498e-05,0.129030366983234,0.0933887283236994,0.111117781246248,0.153590675523249,0.0605423987776929,6.64098817904104e-05,0.116671108742004,0.0802914828185586,0.0174208772903942,0.105276998597475,9.00252070579762e-05,9.16758342500917e-05,0.0650479616306954
"in",3.8229222417616e-05,0.0455697204845989,0.0108620391206509,0.0281393388894091,0.00715368580632935,0.0550506982973025,0.031785487624286,0.0586821432758823,6.02119460500963e-05,0.147136510985713,6.2664494297531e-05,0.0828240387063917,6.64098817904104e-05,0.100013326226013,6.68538574675759e-05,0.0694752915047196,0.0176192145862553,9.00252070579762e-05,0.00467546754675468,9.99200639488409e-05
"non",0.0803195962994113,0.0356718663393776,0.0346633200623161,0.0749602022661298,0.0332101572863369,4.78285823608188e-05,0.0502961709329384,5.86235197561262e-05,0.0542509633911368,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.00670739806083145,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"est",0.0401789127609144,3.95914165808853e-05,0.0433183313138307,0.0726191590972938,0.0332101572863369,0.0191792615266883,0.0582293209223609,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,0.0533274846471989,0.0191622103386809,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"cum",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,0.00238786403221275,0.0308413871517908,4.78285823608188e-05,5.28876665961498e-05,0.0117833274709814,0.0452191714836224,6.00312162324409e-05,0.0282616869281865,0.0350776674306086,0.0199893744189135,0.0467084221748401,0.00340954673084637,0.0278317601332593,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,0.105015987210232
"ad",0.0363559905191528,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.0379476975554292,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0300756393324529,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.113718411552347,0.0417129372570794,8.76577840112202e-05,0.0315988476773497,9.16758342500917e-05,9.99200639488409e-05
"ut",0.0134184570685832,0.0297331538522448,4.32750562575731e-05,0.021116209382901,0.0308413871517908,0.0263535488808112,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.042081882578941,6.2664494297531e-05,6.36618283677107e-05,0.0365918448665161,6.66311300639659e-05,6.68538574675759e-05,0.0278317601332593,8.76577840112202e-05,0.00459128555995679,9.16758342500917e-05,9.99200639488409e-05
"inquit",3.8229222417616e-05,0.0317127246812891,4.32750562575731e-05,0.00238786403221275,0.0142599962099678,0.0287449779988521,0.031785487624286,5.86235197561262e-05,0.0572615606936416,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.0134376253509828,6.94058856191005e-05,0.0570652173913043,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"qui",0.00386115146417922,0.015876158048935,0.0238445559979228,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0150678352743427,0.0783932823662113,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.0234657039711191,6.94058856191005e-05,8.76577840112202e-05,0.0451026287360461,0.0321782178217822,9.99200639488409e-05
"trimalchio",3.8229222417616e-05,0.00597830390371367,4.32750562575731e-05,4.68208633767207e-05,0.0450540079590677,0.0311364071168931,5.28876665961498e-05,5.86235197561262e-05,0.0723145472061657,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.00338690397131093,0.00672974413646055,6.68538574675759e-05,0.00353970016657413,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,0.0600519584332534
