"","alius_medio_praecipue_navis_vinum_fortuna_subito","frater_invenit_domum_iniuriam_populus_partes_ingenti","quemadmodum_volo_ideo_illam_valde_his_aliquid","verum_sive_tuam_fratrem_utique_vultu_osculum","satis_facta_plus_mecum_caelo_miles_vultus","sit_loco_fit_potest_melius_centum_curabo","deos_agere_dicebat_quartilla_vis_gratias_his","factum_posset_dominum_iuvenes_verba_vultum_subinde","rem_habebat_erant_extra_ianuam_aliquot_vidi","solus_forte_opes_rerum_ora_sui_ipsi","fortunata_agamemnon_oculis_tota_scintilla_habinnas_donec","propter_mentem_quorum_caelum_vides_hominem_afferri","sanguine_mare_nondum_potius_risum_caesar_opus","tellus_pectore_vera_more_toto_facies_ira","semel_eumolpi_faciem_tum_tua_certe_lacrimas"
"utique",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.0108497418936045,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00356248456844556,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.0115764778277759,4.20150413848158e-05,4.48410385184521e-05
"vides",2.9238911142949e-05,3.05801045839577e-05,0.00775864733702204,0.00312200550214831,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.0132949509488277,3.84600592284912e-05,0.0021427671106256,4.48410385184521e-05
"vinum",0.0102628578111751,3.05801045839577e-05,3.09109455658249e-05,0.00466755278043955,0.00635051025244068,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00179887834644281,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"alius",0.0175725855969124,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.00388446598207761,4.20150413848158e-05,4.48410385184521e-05
"dixit",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.00312200550214831,0.00161132349688793,3.34997152524204e-05,0.00876060172419811,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00194649059196214,3.78773531305632e-05,0.00965347486635129,4.20150413848158e-05,4.48410385184521e-05
"erant",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00353134505786511,0.0159077281224648,3.62305713561103e-05,0.00576313881149574,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"fortuna",0.0102628578111751,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.00505845700311547,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,0.00844502331834797,4.48410385184521e-05
"fortunata",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,0.00319105241540552,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00184775913916162,0.0210297316896302,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"his",2.9238911142949e-05,3.05801045839577e-05,0.0108497418936045,3.09109455658249e-05,3.15945783703516e-05,0.00170848547787344,0.0105057415098949,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"hominem",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.00466755278043955,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00708969701245106,3.62305713561103e-05,3.81664821953361e-05,0.0132949509488277,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"ideo",2.9238911142949e-05,3.05801045839577e-05,0.0123952891718958,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.0114010832922995,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"illam",2.9238911142949e-05,0.00308859056297973,0.0123952891718958,0.00157645822385707,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.00571948032271505,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"ingenti",2.9238911142949e-05,0.00920461147977126,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,0.0105457753875888,0.00677099681628627
"lichas",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,0.00178004258141077,0.00527953568057061,3.5272124440055e-05,0.00547081627477265,0.0114881111407962,3.78773531305632e-05,3.84600592284912e-05,0.0021427671106256,4.48410385184521e-05
"medio",0.01318674892547,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.00170848547787344,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00194649059196214,0.00571948032271505,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"meis",0.00295313002543785,3.05801045839577e-05,0.00775864733702204,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00702772630327611,3.5272124440055e-05,3.62305713561103e-05,0.00576313881149574,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"miles",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.00466755278043955,0.00950996808947585,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00957978703102935,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"mille",2.9238911142949e-05,0.00461759579217761,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.0100834142909785,3.49027957139367e-05,3.496381245411e-05,0.00356248456844556,3.62305713561103e-05,0.00194649059196214,0.00382561266618689,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
