"","vultum_aliquis_verba_vobis_forsitan_ilium_oblitus","ideo_illam_duo_utique_quemadmodum_verum_alter","mentem_sestertium_ratione_alius_huic_tuum_tum","tua_tot_veluti_frater_faciem_tuam_terram","potui_subito_vota_fieri_magister_unus_eiusmodi","sive_una_subinde_meos_omnis_unum_locum","fortunata_pectore_gratiam_habinnas_trimalchionis_caesar_scintilla","mare_tellus_potest_fluctus_magnum_fortuna_erit"
"utique",1.63529623391277e-05,0.00831521468523344,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0056276765094953
"vides",0.00655753789799022,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00786977870451335
"vinum",0.00246929731320829,0.00416590596006705,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00726693029129832,2.24210219501805e-05
"alius",1.63529623391277e-05,1.65972349006655e-05,0.00841402212645286,1.86737876043398e-05,0.00403201540590961,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"dixit",1.63529623391277e-05,0.0025061824700005,1.86563683513367e-05,0.00468712068868929,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"erant",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,0.00655449944912327,2.00597781388538e-05,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"fortuna",0.000834001079295514,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00416140452578622,0.0101118808995314
"fortunata",0.00246929731320829,1.65972349006655e-05,0.000951474785918173,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.0103724560568104,2.24210219501805e-05
"his",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,0.00209105401544481,2.24210219501805e-05
"hominem",1.63529623391277e-05,1.65972349006655e-05,0.00374993003861868,0.0037534313084723,0.00202603759202423,0.00208243129007649,0.00209105401544481,2.24210219501805e-05
"ideo",1.63529623391277e-05,0.0116346616653665,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"illam",1.63529623391277e-05,0.0116346616653665,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"ingenti",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00403201540590961,2.06181315849158e-05,2.0703505103414e-05,0.00450662541198628
"lichas",0.00573988978103383,1.65972349006655e-05,1.86563683513367e-05,0.00562081006890628,2.00597781388538e-05,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"medio",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00562081006890628,0.0050350043128523,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"meis",0.00655753789799022,0.0025061824700005,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00208243129007649,2.0703505103414e-05,0.00114347211945921
