"","dico_meus_sui_volo_habeo_jam_neo","idem_is_coepio_alius_omnis_meus_rideo","magnus_suus_venio_omnis_nitor_malus_tantus","omnis_sui_meus_jam_facio_tamquam_multus","sui_omnis_meus_suus_tamquam_coepio_possum","supo_jam_unus_lego_metior_mors_rapio","suus_neo_facio_magnus_alius_verbum_sui","totus_suus_pectus_omnis_lacrima_malus_lego","nitor_tellus_omnis_caelus_magnus_peto_sanguis"
"omnis",0.00640902566353072,0.0118845500848896,0.0132322761781258,0.0173367382293685,0.0168901813649759,1.42294064914552e-05,1.47000455701413e-05,0.0133034092754736,0.0128334023301201
"meus",0.0169231191201075,0.0118845500848896,0.0107142407493673,0.0160534859548039,0.0168901813649759,1.42294064914552e-05,0.00148470460258427,0.00665908721780088,1.9713367634593e-05
"sui",0.0123517741389872,1.18726774074822e-05,0.00882571417779848,0.0173367382293685,0.021434042608436,1.42294064914552e-05,0.0117747365016832,0.00665908721780088,1.9713367634593e-05
"neo",0.00960896715031496,0.0089163807330191,0.0107142407493673,0.00771234617013359,0.00780245887805575,1.42294064914552e-05,0.0147147456157114,0.0110886352562494,0.00889072880320145
"jam",0.010523236146539,0.00654184525152267,1.25901771437924e-05,0.0147702336802392,0.00325859763459566,0.0185124578453833,0.010304731944669,0.0059208292113928,1.9713367634593e-05
"suus",0.00915183265220293,1.18726774074822e-05,0.0138617850353154,1.28325227456466e-05,0.0136445661910759,1.42294064914552e-05,0.0161847501727255,0.0162564413011059,1.9713367634593e-05
"facio",0.00960896715031496,0.00832274686264499,0.00504866103466076,0.0141286075429569,1.29824606956002e-05,1.42294064914552e-05,0.0139797433372043,1.47651601281616e-05,1.9713367634593e-05
"is",0.00686616016164276,0.0142590855663861,0.00819620532060886,1.28325227456466e-05,0.00780245887805575,0.00214864038020974,0.00368971143810546,0.00887386123702512,1.9713367634593e-05
"totus",0.00640902566353072,0.00832274686264499,1.25901771437924e-05,0.00322096320915729,1.29824606956002e-05,0.00214864038020974,0.0110397342231761,0.0184712153203302,1.9713367634593e-05
"magnus",0.00549475666730666,1.18726774074822e-05,0.0163798204640739,1.28325227456466e-05,1.29824606956002e-05,0.0028601107047825,0.0139797433372043,1.47651601281616e-05,0.0118477339483904
"tamquam",0.00503762216919462,0.00832274686264499,0.00378964332028152,0.0134869814056745,0.0116971970867358,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"habeo",0.0118946396408751,0.00713547912189678,1.25901771437924e-05,0.00963722458198057,1.29824606956002e-05,1.42294064914552e-05,0.0117747365016832,1.47651601281616e-05,1.9713367634593e-05
"coepio",0.00640902566353072,0.013665451696012,0.00190111674871265,1.28325227456466e-05,0.0110480740519558,0.00428305135392803,1.47000455701413e-05,0.00296779718576048,1.9713367634593e-05
"bonus",0.00823756365597886,0.0089163807330191,0.00693718760622962,0.0109204768565452,0.00325859763459566,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"alius",0.00640902566353072,0.0124781839552638,1.25901771437924e-05,0.00835397230741592,1.29824606956002e-05,1.42294064914552e-05,0.0125097387801902,1.47651601281616e-05,1.9713367634593e-05
"dico",0.0196659261087797,0.00060550654778159,1.25901771437924e-05,0.00835397230741592,1.29824606956002e-05,1.42294064914552e-05,0.000749702324077205,1.47651601281616e-05,0.00494805527628285
