"","eius_quem_fecit_suo_deinde_mea_manu","nunc_illum_quia_es_unquam_nemo_vides","iussit_mea_afferri_puerum_coepi_tota_fortunata","ita_plane_vinum_rogo_vos_bene_oportet","suum_mehercules_nemo_illum_puto_magis_potest","statim_fit_summam_puer_quem_esset_aquam","altera_habebat_pro_puer_omnium_nobis_factum","ceterum_mensam_ecce_factus_suam_hac_subito","homines_medio_amici_meo_quibus_volo_circa","fuit_illius_male_sestertium_sibi_quicquid_die","hic_c_illum_bene_erant_hanc_scio","minus_cocus_supra_puer_circa_voce_putes","triclinium_familia_eius_iussit_post_res_melius","nobis_pedes_servus_totum_cena_domini_sumus","homo_facere_potui_aliquis_panem_nostrum_plus"
"illum",7.64117062734011e-05,0.0358306188925081,8.10569830590905e-05,8.30771786990114e-05,0.0294043729580297,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.0141293159913914,9.44554642486068e-05,0.0235968788192159,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"nobis",0.00389699701994346,7.94470485421467e-05,0.0122396044419227,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0263180904083239,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0562991723715132,0.000120670930372873
"puer",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.0262035344302255,0.0306898662236601,0.00447879160446123,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,0.028702202727186,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"fuit",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0252157158415012,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.061490507225843,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"nemo",0.0115381676472836,0.0239135616111861,8.10569830590905e-05,8.30771786990114e-05,0.041970344307615,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"eius",0.0344616795293039,7.94470485421467e-05,0.00413390613601362,0.00423693611364958,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,0.00486316391723086,0.0299890405499651,0.000102176356391131,0.000120670930372873
"homo",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0252157158415012,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.0725232291540968
"servus",0.00771758233361351,7.94470485421467e-05,8.10569830590905e-05,0.0250062307884024,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0141957318792893,9.53561552398207e-05,9.96313639533725e-05,0.035863901093287,0.000120670930372873
"hic",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0166985129185013,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0565008931089593,0.00486316391723086,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"iussit",7.64117062734011e-05,7.94470485421467e-05,0.0406095485126044,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.00445921133164291,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0299890405499651,0.000102176356391131,0.000120670930372873
