"","identifier","text","eius_quem_fecit_suo_deinde_mea_manu","nunc_illum_quia_es_unquam_nemo_vides","iussit_mea_afferri_puerum_coepi_tota_fortunata","ita_plane_vinum_rogo_vos_bene_oportet","suum_mehercules_nemo_illum_puto_magis_potest","statim_fit_summam_puer_quem_esset_aquam","altera_habebat_pro_puer_omnium_nobis_factum","ceterum_mensam_ecce_factus_suam_hac_subito","homines_medio_amici_meo_quibus_volo_circa","fuit_illius_male_sestertium_sibi_quicquid_die","hic_c_illum_bene_erant_hanc_scio","minus_cocus_supra_puer_circa_voce_putes","triclinium_familia_eius_iussit_post_res_melius","nobis_pedes_servus_totum_cena_domini_sumus","homo_facere_potui_aliquis_panem_nostrum_plus"
"1","urn:cts:latinLit:phi0972.phi001:26.7","Venerat iam tertius dies, id est expectatio liberae cenae, sed tot vulneribus confossis fuga magis placebat, quam quies. ","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"2","urn:cts:latinLit:phi0972.phi001:26.8","Itaque cum maesti deliberaremus, quonam genere praesentem evitaremus procellam, unus servus Agamemnonis interpellavit trepidantes et ","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.915151515151515","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"3","urn:cts:latinLit:phi0972.phi001:26.9","Quid? vos inquit nescitis, hodie apud quem fiat? Trimalchio, lautissimus homo, horologium in triclinio et bucinatorem habet subornatum, ut subinde sciat, quantum de vita perdiderit. ","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.687671232876712","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.276712328767123"
"4","urn:cts:latinLit:phi0972.phi001:26.10","Amicimur ergo diligenter obliti omnium malorum, et Gitona libentissime servile officium tuentem usque hoc iubemus in balnea sequi.","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.381132075471698","0.381132075471698","0.192452830188679","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038"
"5","urn:cts:latinLit:phi0972.phi001:27.1","Nos interim vestiti errare coepimus  immo iocari magis et circulis ludentem accedere, cum subito videmus senem calvum, tunica vestitum russea, inter pueros capillatos ludentem pila. ","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.479365079365079","0.00317460317460317","0.00317460317460317","0.320634920634921","0.00317460317460317","0.161904761904762","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317"
"6","urn:cts:latinLit:phi0972.phi001:27.2","Nec tam pueri nos, quamquam erat operae pretium, ad spectaculum duxerant, quam ipse pater familiae, qui soleatus pila prasina exercebatur. Nec amplius eam repetebat quae terram contigerat, sed follem plenum habebat servus sufficiebatque ludentibus. ","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.12289156626506","0.00240963855421687","0.00240963855421687","0.84578313253012","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687"
"7","urn:cts:latinLit:phi0972.phi001:27.3","Notavimus etiam res novas. Nam duo spadones in diversa parte circuli stabant, quorum alter matellam tenebat argenteam, alter numerabat pilas, non quidem eas quae inter manus lusu expellente vibrabant, sed eas quae in terram decidebant. ","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.355752212389381","0.178761061946903","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.444247787610619","0.00176991150442478","0.00176991150442478"
"8","urn:cts:latinLit:phi0972.phi001:27.4","Cum has ergo miraremur lautitias, accurrit Menelaus et Hic est inquit apud quem cubitum ponetis, et quidem iam principium cenae videtis. ","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.363855421686747","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.604819277108434","0.00240963855421687","0.00240963855421687","0.00240963855421687"
"9","urn:cts:latinLit:phi0972.phi001:27.5","Et iam non loquebatur Menelaus cum Trimalchio digitos concrepuit, ad quod signum matellam spado ludenti subiecit. ","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217"
"10","urn:cts:latinLit:phi0972.phi001:27.6","Exonerata ille vesica aquam poposcit ad manus, digitosque paululum adspersos in capite pueri tersit.","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"11","urn:cts:latinLit:phi0972.phi001:28.1","Longum erat singula excipere. Itaque intravimus balneum, et sudore calfacti momento temporis ad frigidam eximus. ","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"12","urn:cts:latinLit:phi0972.phi001:28.2","Iam Trimalchio unguento perfusus tergebatur, non linteis, sed palliis ex lana mollissima factis. ","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.443478260869565","0.00869565217391304","0.443478260869565","0.00869565217391304"
"13","urn:cts:latinLit:phi0972.phi001:28.3","Tres interim iatraliptae in conspectu eius Falernum potabant, et cum plurimum rixantes effunderent, Trimalchio hoc suum propinasse dicebat. ","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.381132075471698","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.569811320754717","0.00377358490566038","0.00377358490566038"
"14","urn:cts:latinLit:phi0972.phi001:28.4","Hinc involutus coccina gausapa lecticae impositus est praecedentibus phaleratis cursoribus quattuor et chiramaxio, in quo deliciae eius vehebantur, puer vetulus, lippus, domino Trimalchione deformior. ","0.00377358490566038","0.192452830188679","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.381132075471698","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.192452830188679","0.192452830188679","0.00377358490566038","0.00377358490566038"
