"","facere_meus_sium_homo_bonus_hic_putare","hic_posse_totus_eumolpus_suus_alius_parvus","hic_sium_res_habere_is_nere_pro","nere_meus_at_omnis_coepere_videre_totus","sium_nere_hic_omnis_frater_nox_corpus","nere_alius_niti_pro_hic_solus_mare","hic_suus_homo_omnis_magnus_adhuc_invenire","malus_diu_pectus_numquid_puer_lacrima_corpus","suus_nere_verbum_unus_eumolpus_puer_oculus","oculus_ascyltos_pars_ridere_fortis_ludere_facere","hic_is_giton_meus_prae_ancilla_plenus","meus_tuus_nasci_nemo_hic_iratus_nunc","hic_sium_bonus_omnis_statim_is_fieri","intrare_metiri_alius_circare_pes_suus_at","puer_hic_habere_alter_multus_duo_vinum","coepere_familia_potio_dare_pes_fortunata_iubere","suus_parvus_movere_vultus_vides_magnus_tollere","ante_paulo_hic_suus_dominus_meus_nunc","placere_niti_caelus_furere_at_ferre_tellus","tantus_at_ancilla_sanguis_vir_armare_unda"
"hic",0.0222245909502745,0.0406551501385734,0.0355196391655704,2.18871063056753e-05,0.017053066600059,0.0193529681799512,0.0404765990830861,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,0.0380587743096934,0.0204394090178366,0.0332830207986902,2.61855508130614e-05,0.0216550866473817,2.89109254387233e-05,3.1018331834114e-05,0.0187485113477832,3.42008960634769e-05,4.07514568645829e-05
"sium",0.026665956048251,0.00731417616537123,0.0355196391655704,2.18871063056753e-05,0.0352187833511206,0.00848051414627075,0.013508543970188,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0102324631912016,0.0320038885619995,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"nere",0.017783225852298,2.08381087332514e-05,0.0198584226022677,0.03613561251067,0.0318127114602966,0.0266012708690715,2.45164137389983e-05,2.466760403562e-05,0.0173133443651362,0.0111664066948922,0.00129313623570577,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"omnis",0.0160066798131074,0.0083560816020338,0.0167261792896072,0.021908993411981,0.017053066600059,2.41610089637343e-05,0.0257667508396872,0.0111250894200646,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0051289902778841,0.0256082273785464,2.61855508130614e-05,2.70350644786288e-05,0.011593281100928,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"meus",0.0284425020874416,2.08381087332514e-05,2.08816220844035e-05,0.0240977040425485,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,0.00742494881472163,0.00743411790856776,2.47592166183862e-05,0.0165065037145972,0.0344739595294598,0.0115377727749495,0.0144282384979968,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,0.0170471945285651,3.42008960634769e-05,4.07514568645829e-05
"suus",1.77654603919061e-05,0.0146075142220092,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.0380249577091863,0.00495818841115962,0.0185482476722073,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,0.0157375160386499,0.0094893076319987,2.89109254387233e-05,0.0232947672074196,0.0187485113477832,3.42008960634769e-05,4.07514568645829e-05
"facere",0.0328838671854181,2.08381087332514e-05,0.0167261792896072,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.013508543970188,2.466760403562e-05,2.46980661414211e-05,0.0148802891876501,2.53556124648191e-05,2.55173645665876e-05,0.0128169050116401,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.010887434473774,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"puer",1.77654603919061e-05,2.08381087332514e-05,0.00941761156006599,2.18871063056753e-05,2.27071459388269e-05,0.00364831235352388,0.00247615778763882,0.0185253706307506,0.013608634443923,2.47592166183862e-05,0.0127031618448744,2.55173645665876e-05,2.55826447338126e-05,0.0118096834166907,0.0324691124388332,2.89109254387233e-05,0.0077856012903626,0.00173534315560244,3.42008960634769e-05,4.07514568645829e-05
"at",1.77654603919061e-05,0.00106274354539582,0.0125498548727265,0.0230033487272648,0.0113762801153523,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,0.0157375160386499,2.70350644786288e-05,2.89109254387233e-05,0.0124383510654797,0.00513797679403859,0.0205547385341496,0.0183789070459269
"is",0.0151184067935121,2.08381087332514e-05,0.0219465848107081,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.00737944053543848,0.00619156861294063,2.46980661414211e-05,2.47592166183862e-05,0.0279165293237658,2.55173645665876e-05,0.0217708306684745,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"bonus",0.0231128639698698,2.08381087332514e-05,0.0104616926642862,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.0110569025962882,0.00989170921828363,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0102324631912016,0.0281664918519277,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"homo",0.0248894100090604,0.00314655441872096,2.08816220844035e-05,2.18871063056753e-05,0.0113762801153523,2.41610089637343e-05,0.0306700335874868,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.0093365178820683,3.40263363843615e-05,3.42008960634769e-05,0.0122661885162395
"totus",0.00890049565634493,0.0177332305319969,2.08816220844035e-05,0.0164372168355622,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,0.0135918498236266,2.46980661414211e-05,0.00869048503305355,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,0.0144843736448004,0.0093365178820683,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"dicere",0.0115653147151308,2.08381087332514e-05,0.015682098185387,2.18871063056753e-05,0.00910556552146961,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,0.00496431129442565,0.00373864170937632,0.0101676005983925,0.0102324631912016,0.0102586405382588,2.61855508130614e-05,2.70350644786288e-05,0.011593281100928,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
