"","mehercules_bene_homo_puto_sit_curabo_potest","fuit_fecit_quicquid_illum_nemo_manu_summam","sibi_plus_sestertium_illius_die_male_mei","puer_iussit_quem_esset_es_quia_domini","nobis_pro_adhuc_omnium_nunc_interim_fit","homo_vos_oportet_homines_vinum_hodie_nostrum","deinde_mensam_ante_aliquot_ubi_fortunata_circa","sibi_illum_afferri_coepi_iussit_postquam_vix","vides_quia_nunquam_quare_nunc_ideo_assem","illum_hic_mea_meam_summam_ideo_longe","eius_subinde_puer_cocus_hic_idem_aliquid","ait_agamemnon_quemadmodum_c_statim_ita_quibus","altera_habebat_fuerunt_parte_positus_nunc_triclinium","triclinium_familia_habinnas_totum_vero_nobis_plane","unum_melius_valde_balneum_eius_dicebat_ceterum","pedes_trimalchionis_minus_scilicet_heu_sumus_supra","magis_suum_fuit_res_eum_ipsum_immo","statim_pueri_duo_dii_lana_aquam_servi","ecce_subito_ceterum_canem_ianuam_trimalchionis_cuius","nemo_quem_sua_suam_amat_fortunata_dixit"
"illum",0.0191063408693004,0.0251326724742165,0.000101657009250788,0.000102701037280477,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.0408757424013043,0.000118525542254356,0.0423554965608785,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
"nobis",7.61208799573723e-05,0.000100130169219986,0.000101657009250788,0.000102701037280477,0.060971561358858,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.0238236339931255,0.000120670930372873,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.0324415147990177,0.000133564845732603,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00745941202281702
"puer",7.61208799573723e-05,0.000100130169219986,0.000101657009250788,0.0514532196775187,0.00564346575190882,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.000118525542254356,0.000120670930372873,0.0356761882185611,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.0207218334019487,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
"fuit",7.61208799573723e-05,0.0451587063182137,0.015350208396869,0.000102701037280477,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.0119710797676899,0.000120670930372873,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.035168838447527,0.000142106011084269,0.00014626298083955,0.00014626298083955
"nemo",7.61208799573723e-05,0.0251326724742165,0.000101657009250788,0.000102701037280477,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.00604480265497215,0.000120670930372873,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.0952172005265467
"eius",7.61208799573723e-05,0.000100130169219986,0.0102673579343296,0.015507856629352,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.000118525542254356,0.000120670930372873,0.0475287424439967,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.0335247762788834,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
"homo",0.0343305168607749,0.000100130169219986,0.000101657009250788,0.000102701037280477,0.000110656191213898,0.0499059422374682,0.000115114538966271,0.000116455106556422,0.000118525542254356,0.000120670930372873,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
"servus",0.0229123848671691,0.000100130169219986,0.000101657009250788,0.0257779603573996,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.000118525542254356,0.000120670930372873,0.0178973568804077,0.000122144863808477,0.000125203455615375,0.0195166085045883,0.00681180713236276,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
"hic",7.61208799573723e-05,0.000100130169219986,0.000101657009250788,0.000102701037280477,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.000116455106556422,0.000118525542254356,0.0423554965608785,0.0297499111058433,0.0123366312446562,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.0211573490262015,0.000142106011084269,0.00014626298083955,0.00014626298083955
"iussit",7.61208799573723e-05,0.000100130169219986,0.000101657009250788,0.0514532196775187,0.000110656191213898,0.000110656191213898,0.000115114538966271,0.0350529870734832,0.000118525542254356,0.00615421744901653,0.000118525542254356,0.000122144863808477,0.000125203455615375,0.000129249062944294,0.000133564845732603,0.000137230684781117,0.000140114894213255,0.000142106011084269,0.00014626298083955,0.00014626298083955
