"","identifier","text","mehercules_bene_homo_puto_sit_curabo_potest","fuit_fecit_quicquid_illum_nemo_manu_summam","sibi_plus_sestertium_illius_die_male_mei","puer_iussit_quem_esset_es_quia_domini","nobis_pro_adhuc_omnium_nunc_interim_fit","homo_vos_oportet_homines_vinum_hodie_nostrum","deinde_mensam_ante_aliquot_ubi_fortunata_circa","sibi_illum_afferri_coepi_iussit_postquam_vix","vides_quia_nunquam_quare_nunc_ideo_assem","illum_hic_mea_meam_summam_ideo_longe","eius_subinde_puer_cocus_hic_idem_aliquid","ait_agamemnon_quemadmodum_c_statim_ita_quibus","altera_habebat_fuerunt_parte_positus_nunc_triclinium","triclinium_familia_habinnas_totum_vero_nobis_plane","unum_melius_valde_balneum_eius_dicebat_ceterum","pedes_trimalchionis_minus_scilicet_heu_sumus_supra","magis_suum_fuit_res_eum_ipsum_immo","statim_pueri_duo_dii_lana_aquam_servi","ecce_subito_ceterum_canem_ianuam_trimalchionis_cuius","nemo_quem_sua_suam_amat_fortunata_dixit"
"1","urn:cts:latinLit:phi0972.phi001:26.7","Venerat iam tertius dies, id est expectatio liberae cenae, sed tot vulneribus confossis fuga magis placebat, quam quies. ","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.231818181818182","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.686363636363636","0.00454545454545455","0.00454545454545455","0.00454545454545455"
"2","urn:cts:latinLit:phi0972.phi001:26.8","Itaque cum maesti deliberaremus, quonam genere praesentem evitaremus procellam, unus servus Agamemnonis interpellavit trepidantes et ","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.888235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647"
"3","urn:cts:latinLit:phi0972.phi001:26.9","Quid? vos inquit nescitis, hodie apud quem fiat? Trimalchio, lautissimus homo, horologium in triclinio et bucinatorem habet subornatum, ut subinde sciat, quantum de vita perdiderit. ","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.678378378378378","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.137837837837838","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.137837837837838"
"4","urn:cts:latinLit:phi0972.phi001:26.10","Amicimur ergo diligenter obliti omnium malorum, et Gitona libentissime servile officium tuentem usque hoc iubemus in balnea sequi.","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.559259259259259","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"5","urn:cts:latinLit:phi0972.phi001:27.1","Nos interim vestiti errare coepimus  immo iocari magis et circulis ludentem accedere, cum subito videmus senem calvum, tunica vestitum russea, inter pueros capillatos ludentem pila. ","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.628125","0.159375","0.159375","0.003125"
"6","urn:cts:latinLit:phi0972.phi001:27.2","Nec tam pueri nos, quamquam erat operae pretium, ad spectaculum duxerant, quam ipse pater familiae, qui soleatus pila prasina exercebatur. Nec amplius eam repetebat quae terram contigerat, sed follem plenum habebat servus sufficiebatque ludentibus. ","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.24047619047619","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.35952380952381","0.00238095238095238","0.00238095238095238","0.24047619047619","0.00238095238095238","0.121428571428571","0.00238095238095238","0.00238095238095238"
"7","urn:cts:latinLit:phi0972.phi001:27.3","Notavimus etiam res novas. Nam duo spadones in diversa parte circuli stabant, quorum alter matellam tenebat argenteam, alter numerabat pilas, non quidem eas quae inter manus lusu expellente vibrabant, sed eas quae in terram decidebant. ","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.264912280701754","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.61578947368421","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.0894736842105263","0.00175438596491228","0.00175438596491228","0.00175438596491228"
"8","urn:cts:latinLit:phi0972.phi001:27.4","Cum has ergo miraremur lautitias, accurrit Menelaus et Hic est inquit apud quem cubitum ponetis, et quidem iam principium cenae videtis. ","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.716666666666667","0.121428571428571","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.00238095238095238","0.121428571428571"
"9","urn:cts:latinLit:phi0972.phi001:27.5","Et iam non loquebatur Menelaus cum Trimalchio digitos concrepuit, ad quod signum matellam spado ludenti subiecit. ","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.841666666666667"
"10","urn:cts:latinLit:phi0972.phi001:27.6","Exonerata ille vesica aquam poposcit ad manus, digitosque paululum adspersos in capite pueri tersit.","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.459090909090909","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.459090909090909","0.00454545454545455","0.00454545454545455"
