"","mihi_si_te_quam_qui_me_quod","quae_omnia_illum_me_fuit_mehercules_puto","qui_hoc_quod_omnes_male_quam_nascuntur","si_quod_illi_illum_nobis_satis_tibi","qui_erat_altera_nos_cuius_quo_hac","quam_habet_me_illi_plus_domum_illius","nos_omnia_qui_circa_minus_me_haec","erat_quae_duo_adhuc_nobis_servus_pueri","hoc_nos_si_quam_vos_statim_vinum","quod_mihi_me_amici_homines_volo_illa","nisi_esset_illa_dedit_certe_facta_vidi","tibi_ita_me_qui_bene_meum_curabo","quem_coepit_statim_fortunata_deinde_eius_factus","si_hoc_omnia_nostrum_illam_c_haec","familia_hoc_coepit_habinnas_sumus_vero_tota","mihi_sum_me_meam_mortuum_ideo_ne","sunt_ne_meum_omnes_unum_valde_summam","atque_quo_pedes_post_cocus_accepit_medio","iussit_nemo_trimalchionis_propter_ne_quem_amat","sunt_quod_haec_eius_nos_venit_dicebat"
"qui",0.0397948866098512,8.1327260897853e-05,0.102155805977462,8.23316318129425e-05,0.0751083694564855,8.69867780097425e-05,0.0430190623390005,0.0183628722821122,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0373563218390805,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"si",0.0542394915499061,8.1327260897853e-05,0.0204964886493549,0.0824139634447555,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.0524961890243902,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.0990545294635004,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"me",0.0397948866098512,0.032612231620039,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,0.043580375782881,0.0301391035548686,9.13575735428467e-05,9.52743902439024e-05,0.0352905690729942,0.0107492550021286,0.0426777352064708,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0560026827632461,0.0169739208633094,0.000114337983077979,0.000122759636631476,0.000122759636631476
"quod",0.0325725841398238,8.1327260897853e-05,0.0368283521149763,0.0453647291289313,0.00425141713904635,0.00878566457898399,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0553991554393726,0.000106428267347808,0.000106428267347808,0.0164201826881253,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.0113534172661871,0.000114337983077979,0.0185367051313528,0.0553645961207955
"quam",0.0470171890798787,8.1327260897853e-05,0.0286624203821656,8.23316318129425e-05,8.33611203734578e-05,0.078375086986778,8.58663918942126e-05,9.13575735428467e-05,0.0477324695121951,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.00626074146820525,0.000122759636631476
"hoc",7.22230247002744e-05,8.1327260897853e-05,0.044994283847787,8.23316318129425e-05,0.00425141713904635,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.0620236280487805,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.0550791556728232,0.0495822339489886,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"mihi",0.0614617940199335,8.1327260897853e-05,8.16593173281071e-05,0.0083154948131072,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.00962271341463415,0.0553991554393726,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0671808629555108,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"nos",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.0375958652884295,8.69867780097425e-05,0.0558990211231324,0.00922711492782752,0.0620236280487805,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.0308126687945004
"erat",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,0.00419891322246007,0.0667722574191397,8.69867780097425e-05,8.58663918942126e-05,0.0503380230221085,0.00485899390243902,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.00560686015831135,0.000109938434476693,0.005700871898055,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"haec",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,0.0174843423799582,0.025845783960158,9.13575735428467e-05,9.52743902439024e-05,0.0151819827066157,0.000106428267347808,0.000106428267347808,0.0164201826881253,0.02759454705365,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.0553645961207955
"ne",0.02896143290481,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0160706683695189,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0280572322825844,0.0394559352517986,0.000114337983077979,0.0369506506260741,0.000122759636631476
"omnia",7.22230247002744e-05,0.0366785946649317,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,0.0516057015284218,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.0440853122251539,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"tibi",0.0145168279647552,8.1327260897853e-05,8.16593173281071e-05,0.0288984027663428,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0958918688803746,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"habet",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,0.00419891322246007,8.33611203734578e-05,0.0696764091858038,8.58663918942126e-05,0.00922711492782752,9.52743902439024e-05,0.0101548361150211,0.0160706683695189,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.0225944244604317,0.000114337983077979,0.000122759636631476,0.000122759636631476
"illi",0.00729452549472772,8.1327260897853e-05,0.0164135227829495,0.0371315659476371,8.33611203734578e-05,0.0392310368823939,0.00867250558131547,9.13575735428467e-05,9.52743902439024e-05,0.0101548361150211,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"quae",7.22230247002744e-05,0.0529440468445023,8.16593173281071e-05,8.23316318129425e-05,0.00425141713904635,8.69867780097425e-05,8.58663918942126e-05,0.0503380230221085,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.0185367051313528
"sunt",0.0145168279647552,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.0619379496402878,0.000114337983077979,0.000122759636631476,0.067640559783943
"te",0.0506283403148924,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.00841947315771924,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0320349084716901,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.0169739208633094,0.000114337983077979,0.000122759636631476,0.000122759636631476
"illum",0.003683374259714,0.0366785946649317,0.0164135227829495,0.0371315659476371,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.00542784163473819,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"nobis",0.00729452549472772,8.1327260897853e-05,8.16593173281071e-05,0.03301498435699,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,0.0366343869906815,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.00560686015831135,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.012398723299779,0.000122759636631476
"quo",7.22230247002744e-05,0.00821405335068315,8.16593173281071e-05,8.23316318129425e-05,0.0334278092697566,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.0458495312142694,0.0185367051313528,0.000122759636631476
"coepit",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.043605915615485,0.000109938434476693,0.0495822339489886,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.012398723299779
"fuit",7.22230247002744e-05,0.032612231620039,0.0245794545157602,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.0166007036059807,0.000111781801922647,0.000112410071942446,0.0115481362908758,0.000122759636631476,0.000122759636631476
"nemo",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,0.00922711492782752,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.0220976253298153,0.000109938434476693,0.0280572322825844,0.000112410071942446,0.000114337983077979,0.0492266142892217,0.000122759636631476
"nisi",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0051276895234265,0.0692848020434227,0.0213920817369093,0.00554588951718138,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"sum",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.0209236412137379,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0160706683695189,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0615917728593785,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"eius",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.00542784163473819,0.00542784163473819,0.0327316224445411,0.000109938434476693,0.011103781882146,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.0492266142892217
"servus",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.00841947315771924,8.69867780097425e-05,8.58663918942126e-05,0.0320665083135392,9.52743902439024e-05,0.0101548361150211,0.0160706683695189,0.000106428267347808,0.000108742931709439,0.00560686015831135,0.0166007036059807,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"iussit",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,0.0124320764037543,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.0164201826881253,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.067640559783943,0.000122759636631476
"nunc",0.02896143290481,8.1327260897853e-05,8.16593173281071e-05,0.0165486579944014,0.0125875291763921,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0101548361150211,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"omnes",7.22230247002744e-05,8.1327260897853e-05,0.032745386248571,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.011103781882146,0.000111781801922647,0.0338354316546763,0.0058312371369769,0.000122759636631476,0.000122759636631476
"triclinium",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.0209236412137379,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.0143864329268293,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.0166007036059807,0.000111781801922647,0.000112410071942446,0.0115481362908758,0.000122759636631476,0.0246746869629266
"sibi",7.22230247002744e-05,0.0122804163955758,8.16593173281071e-05,0.0206652395850486,8.33611203734578e-05,8.69867780097425e-05,0.0172591447707367,9.13575735428467e-05,9.52743902439024e-05,0.0051276895234265,0.00542784163473819,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.00626074146820525,0.00626074146820525
"statim",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,0.00443632567849687,8.58663918942126e-05,9.13575735428467e-05,0.0334413109756098,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.043605915615485,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"mehercules",7.22230247002744e-05,0.0285458685751464,0.0204964886493549,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,0.0137949936049699,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"quem",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.0490430622009569,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.0369506506260741,0.000122759636631476
"quia",0.0217391304347826,8.1327260897853e-05,8.16593173281071e-05,0.0288984027663428,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.0107492550021286,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"bene",7.22230247002744e-05,0.0163467794404684,0.00416462518373346,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0373563218390805,0.000108742931709439,0.00560686015831135,0.000109938434476693,0.000111781801922647,0.00573291366906475,0.000114337983077979,0.000122759636631476,0.000122759636631476
"fortunata",0.00729452549472772,0.0041476903057905,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.043605915615485,0.000109938434476693,0.0166007036059807,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"ita",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0533205619412516,0.000108742931709439,0.0166007036059807,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.00626074146820525
"meum",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0373563218390805,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.0394559352517986,0.000114337983077979,0.000122759636631476,0.000122759636631476
"plane",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,0.0172591447707367,0.00465923625068518,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.0213920817369093,0.000108742931709439,0.000109938434476693,0.02759454705365,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"vinum",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.0334413109756098,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.0109830361026533,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.0172650354447748,0.012398723299779,0.000122759636631476
"ceterum",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.016755585195065,8.69867780097425e-05,0.00867250558131547,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.022468142186452,0.000112410071942446,0.000114337983077979,0.012398723299779,0.00626074146820525
"deinde",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.0107492550021286,0.000106428267347808,0.043605915615485,0.000109938434476693,0.000109938434476693,0.0168790520903197,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"esset",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,0.0083154948131072,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.0426777352064708,0.000106428267347808,0.000108742931709439,0.0166007036059807,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"illius",7.22230247002744e-05,0.0122804163955758,8.16593173281071e-05,8.23316318129425e-05,0.00841947315771924,0.0261830201809325,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0112899619941873,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"mea",7.22230247002744e-05,0.0204131424853611,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,0.00878566457898399,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0101548361150211,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.0246746869629266,0.000122759636631476
"pedes",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.00425141713904635,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.02759454705365,0.000111781801922647,0.000112410071942446,0.0401326320603705,0.000122759636631476,0.000122759636631476
"atque",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.00841947315771924,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.0572833295220672,0.000122759636631476,0.000122759636631476
"circa",7.22230247002744e-05,0.0041476903057905,8.16593173281071e-05,8.23316318129425e-05,0.00425141713904635,8.69867780097425e-05,0.0430190623390005,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"familia",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.0660729991204925,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"fecit",7.22230247002744e-05,0.0204131424853611,8.16593173281071e-05,0.0124320764037543,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0202091292982103,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"illa",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0252362758898049,0.0373563218390805,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"manu",7.22230247002744e-05,0.0244795055302537,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.0160706683695189,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.0172650354447748,0.000122759636631476,0.000122759636631476
"puto",7.22230247002744e-05,0.0285458685751464,8.16593173281071e-05,8.23316318129425e-05,0.00425141713904635,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.0220976253298153,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"summam",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,0.0124320764037543,8.33611203734578e-05,0.0174843423799582,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.028214928057554,0.000114337983077979,0.000122759636631476,0.000122759636631476
"suum",7.22230247002744e-05,8.1327260897853e-05,0.0123305569165442,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,0.00962271341463415,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.02759454705365,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.012398723299779,0.000122759636631476
"adhuc",7.22230247002744e-05,0.0041476903057905,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,0.0412022656678239,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.00626074146820525
"altera",7.22230247002744e-05,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,0.0459319773257753,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"es",0.0325725841398238,8.1327260897853e-05,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,0.00465923625068518,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.00626074146820525,0.000122759636631476
"homines",7.22230247002744e-05,8.1327260897853e-05,0.0123305569165442,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.0302634224813996,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.011103781882146,0.000111781801922647,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"ideo",0.0109056767297414,8.1327260897853e-05,0.00824759105013882,8.23316318129425e-05,8.33611203734578e-05,8.69867780097425e-05,8.58663918942126e-05,9.13575735428467e-05,9.52743902439024e-05,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.0336463223787167,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
"immo",7.22230247002744e-05,0.0163467794404684,8.16593173281071e-05,8.23316318129425e-05,8.33611203734578e-05,0.00878566457898399,8.58663918942126e-05,9.13575735428467e-05,0.0191501524390244,0.000100542931831892,0.000106428267347808,0.000106428267347808,0.000108742931709439,0.000109938434476693,0.000109938434476693,0.005700871898055,0.000112410071942446,0.000114337983077979,0.000122759636631476,0.000122759636631476
