"","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"ego",0.0445128302244106,0.0265087605451006,0.00988270816397631,0.0411988341148143,0.0387359977873047,0.0261773440814595,1.48676776687481e-05,1.64581961816985e-05,0.0201814821038481,0.00764277241145568,0.0434497429533771,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"sum",0.0303096297699082,0.0394873458792992,0.0313668563465335,1.26726650614624e-05,0.0166090443922002,0.0212275491443926,0.00744870651204282,1.64581961816985e-05,0.0462275247857503,1.6946280291476e-05,0.0283814926431484,0.0376699435264589,0.00538511049131088,0.0190764402600314,2.2517451024544e-05
"hic",0.0142126692548054,0.0102855288773524,0.0203344559284636,0.0196553035103282,0.0214493154473793,0.0240560033941451,0.0200862325304787,0.00413100724160632,0.0201814821038481,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.0201972651871778,2.2517451024544e-05
"ille",0.0217877094972067,0.0205602422669262,0.0075600975496458,1.26726650614624e-05,0.0179919789793943,0.0247631169565832,0.00373178709485578,0.0140059249506254,0.0311040161317426,0.00255888832401288,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"inquam",0.0345705899062589,0.0232641142115509,1.16130530716525e-05,0.00824990495501204,0.0456506707232748,0.0134492999575732,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00524994770968417,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"tu",0.023681469557807,0.0378650227125243,1.16130530716525e-05,1.26726650614624e-05,0.0228322500345734,1.41422712487626e-05,0.00298840321141838,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,0.0124268746676121,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"omnis",0.00521730896695389,0.0113670776552022,0.00872140285681106,0.00508173868964643,1.38293458719403e-05,0.0113279592702588,0.0148825453464169,0.0164746543778802,0.0126197277768442,0.00340620233858668,1.77273533061514e-05,0.00838736665969462,0.00109418579703926,2.24164985429276e-05,2.2517451024544e-05
"meus",0.0132657892245053,0.00866320571057755,1.16130530716525e-05,0.0253580027879863,0.00969437145623012,0.00779239145806817,1.48676776687481e-05,1.64581961816985e-05,0.0117795328516216,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.0139669598798541,2.24164985429276e-05,2.2517451024544e-05
"sui",0.00379698892150365,1.08154877784988e-05,0.0145279293926373,0.00444810543657331,0.00623703498824506,0.00567105077075378,0.0148825453464169,0.0131830151415405,0.0210216770290707,0.00679545839688188,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"neo",0.00521730896695389,0.0124486264330521,0.0122053187783068,0.0304270688125713,0.00831143686903609,0.00213548295856315,1.48676776687481e-05,0.00248518762343647,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"sed",0.00758450904270429,1.08154877784988e-05,0.0209151085820462,0.0139526042326701,1.38293458719403e-05,0.00072125583368689,0.0200862325304787,1.64581961816985e-05,1.6803898504453e-05,0.00849008642602949,1.77273533061514e-05,0.00629575402635432,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"neque",0.00285010889120348,0.00920398009950249,0.0220764138892115,0.00888353820808516,1.38293458719403e-05,1.41422712487626e-05,0.0275200713648528,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.00114324142568931,2.2517451024544e-05
