"","identifier","text","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"1","urn:cts:latinLit:phi0972.phi001:1.1","Num alius genus furiae declamator inquietantur, qui clamant: 'haec vulnus pro libertas publicus excepi; hic oculus pro tu impendi: do ego ducem, qui ego duco ad liber meos, nam succido poples membrum non sustinent'?","0.492896174863388","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.0557377049180328","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.438251366120219"
"2","urn:cts:latinLit:phi0972.phi001:1.2","Haec ipse tolerabilis essent, si ad eloquentia eo via facerent. Nunc et res tumor et sententia vanus strepitus hic tantus proficiunt, ut cum in foris venerint, puto sui in alius orbis terra delatos.","0.00109289617486339","0.00109289617486339","0.602185792349727","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.110382513661202","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.27431693989071"
"3","urn:cts:latinLit:phi0972.phi001:1.3","Et ideo ego adulescentulus existimo in schola stultus fieri, quia nihil ex his, qui in utor habemus, aut audio aut vident, sed pirata cum catena in litus stantes, sed tyrannus edico scribentes, qui impero filius ut pater suus caput praecidant, sed respondeo in pestilentia data, ut virgo tres aut multus immolentur, sed mellitus verbum globulus et omnis dico facio quasi papaver et sesamum sparsa.","0.165840220385675","0.358677685950413","0.000550964187327824","0.000550964187327824","0.000550964187327824","0.000550964187327824","0.220936639118457","0.000550964187327824","0.0556473829201102","0.000550964187327824","0.000550964187327824","0.193388429752066","0.000550964187327824","0.000550964187327824","0.000550964187327824"
"4","urn:cts:latinLit:phi0972.phi001:2.1","Qui inter hic nutriuntur, non magnus sapio possunt, qui bene olere, qui in culina habitant.","0.00377358490566038","0.00377358490566038","0.569811320754717","0.00377358490566038","0.192452830188679","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.192452830188679","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038"
"5","urn:cts:latinLit:phi0972.phi001:2.2","Pace vester licet dixisse, primus omnis eloquentia perdidistis. Levibus enim atque inanis sonus ludibrium quidam excito effecistis, ut corpus oratio enervo et caderet.","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.377443609022556","0.00150375939849624","0.00150375939849624","0.377443609022556","0.227067669172932","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624"
"6","urn:cts:latinLit:phi0972.phi001:2.3","Nondum juvenis declamatio continebantur, cum Sophocles aut Euripides invenio verbum qui debeo loqui.","0.00240963855421687","0.363855421686747","0.00240963855421687","0.604819277108434","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687"
"7","urn:cts:latinLit:phi0972.phi001:2.4","Nondum umbraticus doctor ingenium deleverat, cum Pindarus novo lyrici Homericis versus cano timuerunt.","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"8","urn:cts:latinLit:phi0972.phi001:2.5","Et neo poeta quidem ad testimonium citem, certus neque Platona neque Demosthenen ad hic genus exercitatio accedo video.","0.178761061946903","0.00176991150442478","0.00176991150442478","0.798230088495575","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"9","urn:cts:latinLit:phi0972.phi001:2.6","Grandis et ut ito dico pudicus oratio non sum maculosus neque turgida, sed naturale pulchritudo exsurgit.","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.48433734939759","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.48433734939759","0.00240963855421687","0.00240963855421687"
"10","urn:cts:latinLit:phi0972.phi001:2.7","Nuper ventosus iste et enormis loquacitas Athenas ex Asia commigro animus juvenis ad magnus surgo velut pestilens quodam sidus afflavit, semel corrumpo regula eloquentia sto et obmutuit.","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.420979020979021","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.351048951048951","0.0013986013986014","0.211188811188811"
