"","ὦ_ἄν_ἐγὼ_τάδε_εἰκότως_ὑμεῖς_πλείω","τροπαῖον_ἱππῆς_στράτευμα_νεκροὺς_ὁπλῖται_ἐχώρουν_ἔστησαν","τριάκοντα_τεσσαράκοντα_πελοπόννησον_σικελίαν_παρεσκευάζοντο_ὁπλίτας_ἑκατὸν","ὑμεῖς_ἔργῳ_δεῖ_ἡμεῖς_ἄνδρες_ἀρχῆς_τῶνδε","τοιάδε_τοιαῦτα_δῆμον_δήμου_λόγους_σάμῳ_δήμῳ","σπονδὰς_ξυμμαχίαν_ἀργείους_ἀργείων_ἀργεῖοι_νομίζοντες_σπονδάς","ἐδόκει_καί_πολεμίων_γνώμην_νικίας_στρατιὰν_οὕτω","πόλις_ἀλλήλους_χρημάτων_αὕτη_ῥᾳδίως_ὑπὲρ_πω","μή_αὖ_ἔφη_οὔτ_ὀρθῶς_ἡμεῖς_ποτε","βρασίδας_θρᾴκης_ἔχων_ἑαυτοῦ_περδίκκας_ὁπλίτας_ὄντα","χρήματα_πλὴν_παρασκευῇ_φυλακὴν_αὐτῇ_τἆλλα_πελοποννήσου","τείχους_τεῖχος_ὅπλα_εἴη_ἐντὸς_τείχη_μέγα","ἐτελεύτα_θέρους_χειμῶνος_ἐπιγιγνομένου_ἔτος_ὃν_ἐστράτευσαν","βασιλέως_ἑαυτοῦ_ὢν_τισσαφέρνης_τισσαφέρνην_χρήματα_βασιλέα","νήσῳ_νήσου_ὀλίγῳ_τινες_ξυμμάχοις_πολέμιοι_δοκῇ"
"ὁμοίως",0.00441463043007562,4.16409880573646e-06,4.26897988456678e-06,0.00474603518659008,5.24389348603551e-06,0.00108298580803672,0.00554423200478543,5.98093278627735e-06,6.85410355179646e-06,0.000351002766727691,0.000367308135515096,7.25173679096144e-06,7.24910835967176e-06,8.22381947071498e-06,0.00136099794498324
"ἐγένοντο",0.000805940705218165,0.00271082832253444,4.26897988456678e-06,4.51573281312091e-06,5.24389348603551e-06,0.00539337708380478,5.53869331147396e-06,0.00239835404729722,6.85410355179646e-06,6.88240719073903e-06,7.20212030421756e-06,7.25173679096144e-06,0.00435671412416273,8.22381947071498e-06,0.00631827522803476
"ἐδόκει",4.00965524984162e-06,4.16409880573646e-06,4.26897988456678e-06,4.51573281312091e-06,0.00367596933371089,5.38798909471007e-06,0.00831357866052241,5.98093278627735e-06,0.00137767481391109,0.00275984528348635,7.20212030421756e-06,7.25173679096144e-06,7.24910835967176e-06,0.0041201335548282,0.00226232108735624
"ξυμμαχίαν",0.00120690623020233,4.16409880573646e-06,4.26897988456678e-06,4.51573281312091e-06,5.24389348603551e-06,0.0142835590900764,5.53869331147396e-06,5.98093278627735e-06,6.85410355179646e-06,0.00275984528348635,7.20212030421756e-06,7.25173679096144e-06,7.24910835967176e-06,0.00165298771361371,9.01323142373004e-06
"θαλάσσης",4.00965524984162e-06,4.16409880573646e-06,0.00384635087599467,0.00181080885806149,5.24389348603551e-06,5.38798909471007e-06,0.00360568934576955,0.00568786707974976,6.85410355179646e-06,0.00413632672163416,7.20212030421756e-06,7.25173679096144e-06,7.24910835967176e-06,8.22381947071498e-06,9.01323142373004e-06
"κορινθίων",4.00965524984162e-06,0.00291903326282126,0.00534049383559305,4.51573281312091e-06,5.24389348603551e-06,0.00485457817433377,5.53869331147396e-06,0.00269740068661108,6.85410355179646e-06,6.88240719073903e-06,7.20212030421756e-06,7.25173679096144e-06,7.24910835967176e-06,8.22381947071498e-06,0.00181165951616974
"μή",0.000605457942726084,4.16409880573646e-06,4.26897988456678e-06,4.51573281312091e-06,0.00184060661359846,0.00404637981012726,0.00166714668675366,5.98093278627735e-06,0.00925989389847702,6.88240719073903e-06,7.20212030421756e-06,0.000369838576339033,7.24910835967176e-06,8.22381947071498e-06,0.00496629051447525
"πελοποννήσου",0.00120690623020233,4.16409880573646e-06,0.00598084081827806,4.51573281312091e-06,5.24389348603551e-06,0.00242998308171424,5.53869331147396e-06,5.98093278627735e-06,6.85410355179646e-06,6.88240719073903e-06,0.00540879234846739,7.25173679096144e-06,0.00399425870617914,0.000419414793006464,9.01323142373004e-06
"πόλις",4.00965524984162e-06,4.16409880573646e-06,4.26897988456678e-06,0.00113344893609335,5.24389348603551e-06,5.38798909471007e-06,5.53869331147396e-06,0.0110707065873994,0.0030912007018602,0.00448044708117111,0.00216783821156949,7.25173679096144e-06,7.24910835967176e-06,8.22381947071498e-06,9.01323142373004e-06
"τεῖχος",4.00965524984162e-06,0.00187800856138714,4.26897988456678e-06,4.51573281312091e-06,5.24389348603551e-06,5.38798909471007e-06,0.00249795068347475,5.98093278627735e-06,0.00103496963632127,6.88240719073903e-06,7.20212030421756e-06,0.010522270083685,0.00544408037811349,0.00206417868714946,9.01323142373004e-06
