"","κορινθίων_ὁπλίτας_οἴκου_τριάκοντα_θέρους_παρεσκευάζοντο_χειμῶνος","ἡμεῖς_ὑμεῖς_ἄν_μόνον_ὦ_δύναμιν_χρὴ","τοιάδε_σπονδὰς_ὅπλα_ἀργείων_λόγους_δῆμον_ἐδόκει","ἀλλήλους_ῥᾳδίως_πόλις_τεῖχος_μέγα_μέρος_ἄλλως","ἑαυτοῦ_βασιλέως_πόλεων_βασιλέα_ὢν_σπονδὰς_ξυμμαχίαν"
"ὁμοίως",1.22264634465422e-06,0.00308801176489955,0.000401224398694825,0.00341583285456686,3.59133482732862e-06
"ἐγένοντο",0.00104047203930074,0.000961659816612433,0.00385547418878272,0.00114050705635413,0.000542291558926622
"ἐδόκει",0.000979339722068033,1.37183996663685e-06,0.00398832994993995,0.00355804071695516,3.59133482732862e-06
"ξυμμαχίαν",0.000368016549740921,0.000550107826621378,0.00358976266646827,2.84415724776591e-06,0.00539059357582026
"θαλάσσης",0.00220198606672226,0.00103025181494428,2.65711522314454e-06,0.00270479354262538,3.59133482732862e-06
"κορινθίων",0.00342463241137648,0.00034433183162585,0.00119835896563819,2.84415724776591e-06,3.59133482732862e-06
"μή",1.22264634465422e-06,0.00226490778491744,0.0037226184276255,2.84415724776591e-06,0.00161969200712521
"πελοποννήσου",0.0024465153356531,0.000893067818280591,0.00133121472679541,2.84415724776591e-06,0.00126055852439235
"πόλις",1.22264634465422e-06,0.00178476379659454,0.00106550320448096,0.00441128789128493,0.000901425041659484
"τεῖχος",0.00201858911502412,1.37183996663685e-06,0.000799791682166505,0.00441128789128493,3.59133482732862e-06
"τό",0.000429148866973632,0.0021963157865856,0.000534080159852052,0.00327362499217857,0.000721858300293053
"ὑπ",0.000857075087602611,0.00185335579492639,0.00146407048795264,0.00199375423068391,0.000721858300293053
"αὐτὴν",0.00159066289439514,0.0021963157865856,2.65711522314454e-06,0.00156713064351902,3.59133482732862e-06
"ἧσσον",1.22264634465422e-06,0.00336237975822693,0.00146407048795264,0.00128271491874243,3.59133482732862e-06
"μέντοι",0.00116273667376617,0.00137321180660349,0.00172978201026709,2.84415724776591e-06,0.00305622593805666
"οἴκου",0.00336350009414377,1.37183996663685e-06,0.00186263777142432,2.84415724776591e-06,3.59133482732862e-06
"σπονδὰς",1.22264634465422e-06,1.37183996663685e-06,0.00505117603919776,2.84415724776591e-06,0.00557016031718669
"ἀλλήλους",0.000184619598042788,0.00144180380493533,2.65711522314454e-06,0.00469570361606153,0.00197882548985807
"ἀργείων",0.00152953057716243,1.37183996663685e-06,0.00478546451688331,2.84415724776591e-06,0.00126055852439235
"δύναμιν",1.22264634465422e-06,0.00343097175655877,0.00199549353258155,0.000429467744412653,3.59133482732862e-06
"ἑαυτοῦ",0.00030688423250821,0.00130461980827165,2.65711522314454e-06,0.000145052019636062,0.00772496121358387
