"","identifier","text","κορινθίων_ὁπλίτας_οἴκου_τριάκοντα_θέρους_παρεσκευάζοντο_χειμῶνος","ἡμεῖς_ὑμεῖς_ἄν_μόνον_ὦ_δύναμιν_χρὴ","τοιάδε_σπονδὰς_ὅπλα_ἀργείων_λόγους_δῆμον_ἐδόκει","ἀλλήλους_ῥᾳδίως_πόλις_τεῖχος_μέγα_μέρος_ἄλλως","ἑαυτοῦ_βασιλέως_πόλεων_βασιλέα_ὢν_σπονδὰς_ξυμμαχίαν"
"1","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.1.1","Θουκυδίδης Ἀθηναῖος ξυνέγραψε τὸν πόλεμον τῶν Πελοποννησίων καὶ Ἀθηναίων, ὡς ἐπολέμησαν πρὸς ἀλλήλους, ἀρξάμενος εὐθὺς καθισταμένου καὶ ἐλπίσας μέγαν τε ἔσεσθαι καὶ ἀξιολογώτατον τῶν προγεγενημένων, τεκμαιρόμενος ὅτι ἀκμάζοντές τε ᾖσαν ἐς αὐτὸν ἀμφότεροι παρασκευῇ τῇ πάσῃ καὶ τὸ ἄλλο Ἑλληνικὸν ὁρῶν ξυνιστάμενον πρὸς ἑκατέρους, τὸ μὲν εὐθύς, τὸ δὲ καὶ διανοούμενον.","0.133774834437086","0.00132450331125828","0.00132450331125828","0.862251655629139","0.00132450331125828"
"2","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.1.2","κίνησις γὰρ αὕτη μεγίστη δὴ τοῖς Ἕλλησιν ἐγένετο καὶ μέρει τινὶ τῶν βαρβάρων, ὡς δὲ εἰπεῖν καὶ ἐπὶ πλεῖστον ἀνθρώπων.","0.0021978021978022","0.551648351648352","0.0021978021978022","0.441758241758242","0.0021978021978022"
"3","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.1.3","τὰ γὰρ πρὸ αὐτῶν καὶ τὰ ἔτι παλαίτερα σαφῶς μὲν εὑρεῖν διὰ χρόνου πλῆθος ἀδύνατα ἦν, ἐκ δὲ τεκμηρίων ὧν ἐπὶ μακρότατον σκοποῦντί μοι πιστεῦσαι ξυμβαίνει οὐ μεγάλα νομίζω γενέσθαι οὔτε κατὰ τοὺς πολέμους οὔτε ἐς τὰ ἄλλα.","0.0018018018018018","0.992792792792793","0.0018018018018018","0.0018018018018018","0.0018018018018018"
"4","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.1","φαίνεται γὰρ ἡ νῦν Ἑλλὰς καλουμένη οὐ πάλαι βεβαίως οἰκουμένη, ἀλλὰ μεταναστάσεις τε οὖσαι τὰ πρότερα καὶ ῥᾳδίως ἕκαστοι τὴν ἑαυτῶν ἀπολείποντες βιαζόμενοι ὑπό τινων αἰεὶ πλειόνων.","0.00152671755725191","0.00152671755725191","0.383206106870229","0.612213740458015","0.00152671755725191"
"5","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.2","τῆς γὰρ ἐμπορίας οὐκ οὔσης, οὐδ᾽ ἐπιμειγνύντες ἀδεῶς ἀλλήλοις οὔτε κατὰ γῆν οὔτε διὰ θαλάσσης, νεμόμενοί τε τὰ αὑτῶν ἕκαστοι ὅσον ἀποζῆν καὶ περιουσίαν χρημάτων οὐκ ἔχοντες οὐδὲ γῆν φυτεύοντες, ἄδηλον ὂν ὁπότε τις ἐπελθὼν καὶ ἀτειχίστων ἅμα ὄντων ἄλλος ἀφαιρήσεται, τῆς τε καθ᾽ ἡμέραν ἀναγκαίου τροφῆς πανταχοῦ ἂν ἡγούμενοι ἐπικρατεῖν, οὐ χαλεπῶς ἀπανίσταντο, καὶ δι᾽ αὐτὸ οὔτε μεγέθει πόλεων ἴσχυον οὔτε τῇ ἄλλῃ παρασκευῇ.","0.000766283524904215","0.460536398467433","0.000766283524904215","0.537164750957854","0.000766283524904215"
"6","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.3","μάλιστα δὲ τῆς γῆς ἡ ἀρίστη αἰεὶ τὰς μεταβολὰς τῶν οἰκητόρων εἶχεν, ἥ τε νῦν Θεσσαλία καλουμένη καὶ Βοιωτία Πελοποννήσου τε τὰ πολλὰ πλὴν Ἀρκαδίας, τῆς τε ἄλλης ὅσα ἦν κράτιστα.","0.37283950617284","0.00246913580246914","0.00246913580246914","0.619753086419753","0.00246913580246914"
"7","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.4","διὰ γὰρ ἀρετὴν γῆς αἵ τε δυνάμεις τισὶ μείζους ἐγγιγνόμεναι στάσεις ἐνεποίουν ἐξ ὧν ἐφθείροντο, καὶ ἅμα ὑπὸ ἀλλοφύλων μᾶλλον ἐπεβουλεύοντο.","0.00327868852459016","0.822950819672131","0.00327868852459016","0.167213114754098","0.00327868852459016"
"8","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.5","τὴν γοῦν Ἀττικὴν ἐκ τοῦ ἐπὶ πλεῖστον διὰ τὸ λεπτόγεων ἀστασίαστον οὖσαν ἄνθρωποι ᾤκουν οἱ αὐτοὶ αἰεί.","0.0028169014084507","0.0028169014084507","0.0028169014084507","0.988732394366197","0.0028169014084507"
"9","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.2.6","καὶ παράδειγμα τόδε τοῦ λόγου οὐκ ἐλάχιστόν ἐστι διὰ τὰς μετοικίας ἐς τὰ ἄλλα μὴ ὁμοίως αὐξηθῆναι: ἐκ γὰρ τῆς ἄλλης Ἑλλάδος οἱ πολέμῳ ἢ στάσει ἐκπίπτοντες παρ᾽ Ἀθηναίους οἱ δυνατώτατοι ὡς βέβαιον ὂν ἀνεχώρουν, καὶ πολῖται γιγνόμενοι εὐθὺς ἀπὸ παλαιοῦ μείζω ἔτι ἐποίησαν πλήθει ἀνθρώπων τὴν πόλιν, ὥστε καὶ ἐς Ἰωνίαν ὕστερον ὡς οὐχ ἱκανῆς οὔσης τῆς Ἀττικῆς ἀποικίας ἐξέπεμψαν.","0.000796812749003984","0.2","0.120318725099602","0.678087649402391","0.000796812749003984"
"10","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.3.1","δηλοῖ δέ μοι καὶ τόδε τῶν παλαιῶν ἀσθένειαν οὐχ ἥκιστα: πρὸ γὰρ τῶν Τρωικῶν οὐδὲν φαίνεται πρότερον κοινῇ ἐργασαμένη ἡ Ἑλλάς:","0.00198019801980198","0.497029702970297","0.00198019801980198","0.497029702970297","0.00198019801980198"
"11","urn:cts:greekLit:tlg0003.tlg001.perseus-grc2:1.3.2","δοκεῖ δέ μοι, οὐδὲ τοὔνομα τοῦτο ξύμπασά πω εἶχεν, ἀλλὰ τὰ μὲν πρὸ Ἕλληνος τοῦ Δευκαλίωνος καὶ πάνυ οὐδὲ εἶναι ἡ ἐπίκλησις αὕτη, κατὰ ἔθνη δὲ ἄλλα τε καὶ τὸ Πελασγικὸν ἐπὶ πλεῖστον ἀφ᾽ ἑαυτῶν τὴν ἐπωνυμίαν παρέχεσθαι, Ἕλληνος δὲ καὶ τῶν παίδων αὐτοῦ ἐν τῇ Φθιώτιδι ἰσχυσάντων, καὶ ἐπαγομένων αὐτοὺς ἐπ᾽ ὠφελίᾳ ἐς τὰς ἄλλας πόλεις, καθ᾽ ἑκάστους μὲν ἤδη τῇ ὁμιλίᾳ μᾶλλον καλεῖσθαι Ἕλληνας, οὐ μέντοι πολλοῦ γε χρόνου [ἐδύνατο] καὶ ἅπασιν ἐκνικῆσαι.","0.000947867298578199","0.617061611374408","0.000947867298578199","0.380094786729858","0.000947867298578199"
