"","θίς_κήδω_πρό_ἱλάσκομαι_λαμβάνω_Κάλχας_ὁράω","καίω_θάλασσα_Χρύση_ἀμφί_ἀρήγω_ἶφι_κῦμα","ἴσος_ἀείδω_ἄλγος_ἀτιμάω_βούλομαι_πλείων_σῶς","ἐφίημι_χραισμέω_ἀχεύω_ἔρομαι_τλάω_ἔλδωρ_ὅστις","τιμάω_χολόω_ἄνθρωπος_δύο_μάλιστα_νεφεληγερέτα_πέλω","πόλις_ἱερεύς_μάντις_ἐκπέρθω_οἴχομαι_φρονέω_αἰδέομαι","ἀπειλέω_κρατερός_πότνια_προίημι_τέλλω_χερείων_χέω","ἤδη_καταδύω_ἱστίον_τοι_ἀναβαίνω_νέος_ἀγορά","τιμή_χαίρω_Πρίαμος_φωνέω_ἤτοι_κῆρυξ_οἴκαδε","κατανεύω_παύω_ἐπιπείθομαι_κράτιστος_ὅσος_μένος_μάντις","βαρύς_δῶρον_καθέζομαι_ξίφος_λήγω_μηνίω_λαμβάνω","τίκτω_αἰνός_δείδω_κέλομαι_τρέφω_ἱλάσκομαι_αἴξ","γαῖα_γλυκύς_ἕκαστος_ἱκάνω_ἀπάνευθε_Ἥφαιστος_Χρύση","ἔοικα_μένω_ἀγορά_πέμπω_τλάω_αἴξ_ἀναβαίνω","ἵνα_κνῖσα_θνήσκω_ἀπάνευθε_κῆρ_λήγω_οἶος"
"ἐφίημι",0.000485201358563804,0.00056785917092561,0.000584453535943893,0.133024487094639,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"ἤδη",0.000485201358563804,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.159397303727201,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"ἤτοι",0.0490053372149442,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.083402146985962,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"θάλασσα",0.024745269286754,0.0857467348097672,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"θίς",0.0975254730713246,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"ἱερεύς",0.000485201358563804,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.0337524818001324,0.103353867214237,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"ἱλάσκομαι",0.0732654051431344,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.0504451038575668,0.000989119683481701,0.00116144018583043,0.00131406044678055
"ἵνα",0.024745269286754,0.00056785917092561,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.198423127463863
"ἴσος",0.000485201358563804,0.00056785917092561,0.117475160724722,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
"καίω",0.000485201358563804,0.114139693356048,0.000584453535943893,0.000661813368630046,0.000661813368630046,0.000684462696783025,0.000734753857457752,0.000793021411578113,0.000825763831544178,0.0009000900090009,0.000942507068803016,0.000989119683481701,0.000989119683481701,0.00116144018583043,0.00131406044678055
