"","identifier","text","θίς_κήδω_πρό_ἱλάσκομαι_λαμβάνω_Κάλχας_ὁράω","καίω_θάλασσα_Χρύση_ἀμφί_ἀρήγω_ἶφι_κῦμα","ἴσος_ἀείδω_ἄλγος_ἀτιμάω_βούλομαι_πλείων_σῶς","ἐφίημι_χραισμέω_ἀχεύω_ἔρομαι_τλάω_ἔλδωρ_ὅστις","τιμάω_χολόω_ἄνθρωπος_δύο_μάλιστα_νεφεληγερέτα_πέλω","πόλις_ἱερεύς_μάντις_ἐκπέρθω_οἴχομαι_φρονέω_αἰδέομαι","ἀπειλέω_κρατερός_πότνια_προίημι_τέλλω_χερείων_χέω","ἤδη_καταδύω_ἱστίον_τοι_ἀναβαίνω_νέος_ἀγορά","τιμή_χαίρω_Πρίαμος_φωνέω_ἤτοι_κῆρυξ_οἴκαδε","κατανεύω_παύω_ἐπιπείθομαι_κράτιστος_ὅσος_μένος_μάντις","βαρύς_δῶρον_καθέζομαι_ξίφος_λήγω_μηνίω_λαμβάνω","τίκτω_αἰνός_δείδω_κέλομαι_τρέφω_ἱλάσκομαι_αἴξ","γαῖα_γλυκύς_ἕκαστος_ἱκάνω_ἀπάνευθε_Ἥφαιστος_Χρύση","ἔοικα_μένω_ἀγορά_πέμπω_τλάω_αἴξ_ἀναβαίνω","ἵνα_κνῖσα_θνήσκω_ἀπάνευθε_κῆρ_λήγω_οἶος"
"1","urn:cts:greekLit:tlg0012.tlg001:1.1@μῆνιν-1.7@Ἀχιλλεύς","μῆνις ἀείδω θεά Πηληιάδης Ἀχιλλεύς οὐλόμενος , ὅς μυρίος Ἀχαιός ἄλγος τίθημι , πολύς δέ ἴφθιμος ψυχή  προιάπτω ἥρως , αὐτός δέ ἑλώριον τεύχω κύων οἰωνός τε πᾶς , Ζεύς δέ τελέω βουλή , ἐκ ὅς δή ὁ πρῶτος διίστημι ἐρίζω Ἀτρείδης τε ἄναξ ἀνήρ καί δῖος Ἀχιλλεύς .","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"2","urn:cts:greekLit:tlg0012.tlg001:1.8@τίς-1.8@μάχεσθαι","τίς τε ἄρα σφεῖς θεός ἔρις συνίημι μάχομαι ;","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"3","urn:cts:greekLit:tlg0012.tlg001:1.9@Λητοῦς-1.9@υἱός","Λητώ καί Ζεύς υἱός ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"4","urn:cts:greekLit:tlg0012.tlg001:1.9@ὃ-1.12@Ἀτρεΐδης","ὁ γάρ βασιλεύς χολόω νόσος ἀνά στρατός ὄρνυμι κακός , ὀλέκω δέ λαός , οὕνεκα ὁ Χρύσης ἀτιμάζω ἀρητήρ Ἀτρείδης ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"5","urn:cts:greekLit:tlg0012.tlg001:1.12@ὃ-1.16@λαῶν","ὁ γάρ ἔρχομαι θοός ἐπί ναῦς Ἀχαιός λύω τε θυγάτηρ φέρω τε ἀπερείσιος ἄποινα , στέμμα ἔχω ἐν χείρ ἑκηβόλος Ἀπόλλων χρύσεος ἀνά σκῆπτρον , καί λίσσομαι πᾶς Ἀχαιός , Ἀτρείδης δέ μάλιστα δύο , κοσμήτωρ λαός ·","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"6","urn:cts:greekLit:tlg0012.tlg001:1.17@Ἀτρεΐδαι-1.19@ἱκέσθαι","Ἀτρείδης τε καί ἄλλος ἐυκνήμις Ἀχαιός , σύ μέν θεός δίδωμι Ὀλύμπιος δῶμα ἔχω ἐκπέρθω Πρίαμος πόλις , εὖ δέ οἴκαδε ἱκνέομαι ·","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.00465116279069767","0.00465116279069767","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"7","urn:cts:greekLit:tlg0012.tlg001:1.20@παῖδα-1.21@Ἀπόλλωνα","παῖς δέ ἐγώ λύω φίλος , ὁ δέ ἄποινα δέχομαι , ἅζομαι Ζεύς υἱός ἑκηβόλος Ἀπόλλων .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"8","urn:cts:greekLit:tlg0012.tlg001:1.22@ἔνθ̓-1.23@ἄποινα","ἔνθα ἄλλος μέν πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι τε ἱερεύς καί ἀγλαός δέχομαι ἄποινα ·","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"9","urn:cts:greekLit:tlg0012.tlg001:1.24@ἀλλ̓-1.25@ἔτελλε","ἀλλά οὐ Ἀτρείδης Ἀγαμέμνων ἁνδάνω θυμός , ἀλλά κακός ἀφίημι , κρατερός δέ ἐπί μῦθος τέλλω ·","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"10","urn:cts:greekLit:tlg0012.tlg001:1.26@μή-1.28@θεοῖο","μή σύ γέρων κοῖλος ἐγώ παρά ναῦς κιχάνω ἤ νῦν δηθύνω ἤ ὕστερος αὖθις εἶμι , μή νῦν σύ οὐ χραισμέω σκῆπτρον καί στέμμα θεός ·","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.443478260869565","0.443478260869565","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
