"","τόνον_ϊ_ἀσκαλωνίτης_ὁμοίως_λήγοντα_ποιητῇ_ἐγένετο","ζεὺς_διὸς_ἀφ_αὐτὴν_αὐτῆς_αὐτῶν_ἱστορία","τί_οὐδέ_πῶς_ἢν_ὅμηρος_ῥητέον_αὐτὸς","ὃς_ὧν_ὃν_ὥς_ὕδωρ_ὑπέρ_του","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_ἐὰν_ἄνω","ὥσπερ_πῶς_τότε_ὑπὸ_γίνεται_ἄρα_ἄν","ὁμοίως_ᾖ_λόγου_πρόθεσιν_ἵν_ἦ_ἓν","τρώων_ὑπὸ_ἕκτορα_ὑπ_ἕκτωρ_ἤτοι_τρῶες","ἀθετοῦνται_τούτου_ἕως_στίχοι_ἀθετεῖται_αὐτῶν_οὐδὲ","κε_τοι_μή_μοι_με_τίς_δή","τεῖχος_σημαίνει_τῶ_ποτὲ_χρόνον_ὅπερ_ἀχαιῶν","ν_ἀπὸ_ἵππων_σύν_οὐδ_χωρὶς_ἐπ","μοι_ὅμηρος_τοι_νεώτεροι_ἐὰν_ὑπ_τινες","ἄλλοι_ἀρίσταρχος_χωρὶς_ἀρισταρχος_ν_ϊ_ἀριστάρχου","ἔν_ὅσον_πῦρ_τισι_γίνεται_ἀνδρῶν_αἷμα","ἵν_ἐλλείπει_ἦ_μᾶλλον_ἀπὸ_ἔστιν_ᾖ","εἴρηκεν_πρότερον_ὄνομα_ἕτερον_δεύτερον_ἄλλο_ὥστε","κεν_εἴ_καί_μοι_κ_μιν_ῥ","οὔτε_αὐτὰρ_ἂρ_θηλυκῶς_ἴλιον_ζηνοδοτος_μᾶλλον","ἔνθα_πάλιν_διὸς_ἐνταῦθα_πάτροκλον_ἅπαξ_οὗτος"
"ἤτοι",0.000960274619399461,0.00477230252870056,6.31903546242702e-06,6.7933859594299e-06,0.0144050133011546,0.00386796956167692,7.59001760884085e-06,0.00825595827245448,7.96482732254365e-06,8.02877513006616e-06,0.00345832758382779,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.00660996492286803,9.49198876148531e-06,0.00236008725740936,9.64301556382712e-06,9.78933354217245e-06
"ϊ",0.0100525758329824,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,0.00114609265893497,0.00197168936858808,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.0250644283771208,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ἄλλοι",3.19028112757296e-06,0.00238853503184713,6.31903546242702e-06,0.00408282496161737,6.85626525519019e-06,7.01990846039368e-06,0.00190509441981905,7.855336129833e-06,0.00518510258697591,0.00562817136617638,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.0322231369460949,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"λόγος",0.00159833084491405,4.76753499370685e-06,0.00158607790106918,6.7933859594299e-06,0.0243465979211804,0.00141100160053913,7.59001760884085e-06,0.00197168936858808,0.00797279214986619,0.00362097758365984,0.000871050089692287,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ὁμοίως",0.00781937904368133,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,0.00172092257905274,0.00141100160053913,0.0201211366810371,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.0035883026701983,0.00187846956131661,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,0.00147818936486804
"ᾖ",3.19028112757296e-06,4.76753499370685e-06,0.000322270808583778,6.7933859594299e-06,0.0178331459287497,7.01990846039368e-06,0.0174646305179428,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.000903786956832987,9.34561970804284e-06,0.0103816995436201,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ἵν",3.19028112757296e-06,4.76753499370685e-06,0.00284988499355458,6.7933859594299e-06,0.0130337602501166,7.01990846039368e-06,0.0121516181917542,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.00135120624239387,9.34561970804284e-06,0.0193395692679063,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ἀπὸ",0.00287444329594324,0.00453392577901522,6.31903546242702e-06,0.0017051398758169,6.85626525519019e-06,7.01990846039368e-06,0.000387090898050883,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,0.0100041720265619,0.00227453965492243,8.9483857112177e-06,0.0084204033569466,0.0108531663712141,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,0.00392552275041115
"πάλιν",0.00383152763421513,0.00143502803310576,0.00284988499355458,6.7933859594299e-06,0.00446342868112881,0.0021129924465785,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,0.00272763520371176,8.9483857112177e-06,0.00608399842993589,9.42933655188021e-06,0.00902688131217253,9.40273807732812e-06,9.64301556382712e-06,0.0112675229070405
"αὐτὸς",0.00143881678853541,0.00310366528090316,0.00822106513661755,0.00102580127987391,6.85626525519019e-06,0.00562294667677533,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,0.00482529385316976,8.62425831378502e-06,0.000443277822202135,0.00363382630129042,8.9483857112177e-06,0.000476626605110185,9.42933655188021e-06,9.49198876148531e-06,0.00283022416127576,0.00531330157566874,0.00539392278173702
