"","τόνον_ϊ_ὁμοίως_ἀσκαλωνίτης_τέλους_λήγοντα_ἐγένετο","διὸς_ζεὺς_αὐτὴν_αὐτῶν_αὐτῆς_ὅθεν_ἱστορία","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_στίχου_ἀπ","τί_πῶς_δεῖ_πάλιν_αὐτὸς_πάντων_ῥητέον","οὗτος_ὃς_ὃν_αὐτόν_του_ὥς_ὧν","ὅταν_θεῶν_ἄν_πῶς_ὅτ_αὐτὸς_οὐδ","κε_τοι_μοι_μή_με_ὅς_τίς","τεῖχος_τῶ_σημαίνει_ἀχαιῶν_βέλτιον_λέξις_τρώων","ἦ_πρόθεσιν_ὁμοίως_ᾖ_ἵν_ὑφ_δεῖ","τοι_νεώτεροι_ὅμηρος_οὗ_ἅμα_μοι_οὖ","τρώων_ὑπὸ_ἕκτορα_ἕκτωρ_ὑπ_τῶ_ἕκτορος","εἴρηκεν_ὄνομα_πρότερον_ἕτερον_δεύτερον_πολὺ_κύριον","ἀθετοῦνται_ἕως_στίχοι_τούτου_οὐδ_ἀθετεῖται_τρεῖς","ἵν_ᾖ_ἐλλείπει_ἐὰν_του_μᾶλλον_ἔστιν","ἄλλοι_ἀριστάρχου_ἀρισταρχος_ἀρίσταρχος_ν_χωρὶς_ϊ","πῦρ_ἔν_τισι_ἵππων_ὅσον_αἷμα_διπλῆ","ν_ἀπὸ_σὺν_θ_χωρὶς_πάρ_τὲ","κέχρηται_πάλιν_πάτροκλον_ἐνταῦθα_αὐτὸς_διπλῆ_ἡμεῖς","αὐτὰρ_ἂρ_ζηνοδοτος_οὐδέ_οὔτε_θηλυκῶς_οὐδ","κεν_κ_εἴ_μοι_ἔνθα_ἀλλῷ_μιν"
"ἤτοι",0.00149707756116802,0.00303723537924281,0.013497288400831,6.98070533046659e-06,7.09209798442575e-06,0.00371656206881204,7.54705589349595e-06,0.00638491215763798,8.76024949190553e-06,0.00175389609256383,0.00611148890167565,0.00264494472856365,8.86116329351717e-06,0.00582279386773045,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ϊ",0.00956516022614537,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,0.0200174296588767,9.10730223493197e-06,0.00816848289242262,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ἄλλοι",0.0013476686229277,0.00195405585740158,6.74527156463319e-06,0.000705051238377126,7.09209798442575e-06,7.41828756249907e-06,0.00378107500264147,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00709779179810726,0.00448113629452067,0.031133283534308,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"λόγος",0.00164648649940834,4.33271808736493e-06,0.0215916142783908,0.00314829810404043,7.09209798442575e-06,0.00186199017818727,0.00378107500264147,0.00319644166693237,0.00395087252084939,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00311026831602453,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,0.00147746619439933,1.05427402690507e-05
"ὁμοίως",0.00911693341142441,4.33271808736493e-06,0.00203032674095459,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,0.0135871469619455,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.000456163574891326,0.00801230747341088,9.10730223493197e-06,9.06601874852677e-06,0.00186799501867995,0.00245592062777636,1.05427402690507e-05
"ᾖ",2.98817876480643e-06,4.33271808736493e-06,0.0178817149178426,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,0.00399355928960877,0.0105210596397785,0.000881310971885307,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.0152143968801989,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ἵν",2.98817876480643e-06,4.33271808736493e-06,0.012485497666136,0.00175215703794711,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,0.00678347096897618,0.00964503469058799,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.0187921504087583,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ἀπὸ",0.00314057588181155,0.00238732766613808,6.74527156463319e-06,0.00210119230447044,0.0063899802839676,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,0.00262648121324235,8.71824379696954e-06,8.78719178924799e-06,0.00178109382199695,0.00448113629452067,8.89268310034504e-06,0.00501812353144751,0.0122481913292597,9.29350755562164e-06,9.78454433377038e-06,0.00317336482098427
"πάλιν",0.0034393937582922,0.000437604526823858,0.00843833472735612,0.00873286236841371,7.09209798442575e-06,0.00371656206881204,7.54705589349595e-06,0.000805088798903166,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,0.00220558513910125,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,0.00182226976845388,0.0106968271965205,9.78454433377038e-06,1.05427402690507e-05
"αὐτὸς",0.00149707756116802,0.0039037789967158,6.74527156463319e-06,0.00838382710189037,0.00142551169486958,0.00965119211881129,0.00340372220796667,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00883812568539618,0.0034343750611534,1.05427402690507e-05
