"","ἀσκαλωνίτης_ποιητῇ_ὁμοίως_τόνον_ϊ_δεῖ_ἄρα","αὐτῶν_ζεὺς_οὐδέ_αὐτόν_τί_παῖς_διὸς","ὃς_ἢν_αὐτὴν_ὥς_ζεὺς_ὃν_ὕστερον","πῶς_μᾶλλον_ἦ_τρώων_λέγειν_περισπαστέον_ἓν","οὔτε_πρότερον_δεῖ_ἕτερον_ἡμεῖς_ἐνί_εἰπὼν","τοι_μέν_νεώτεροι_ϊ_σ_λέγειν_λήγοντα","διὸς_ὑπ_ἐφ_ἀριστοφάνης_ἐὰν_μοι_οὗ","ἵν_ἦ_ἕως_ἀχαιῶν_βέλτιον_ἀλλὰ_συναπτέον","ἂρ_θηλυκῶς_οἷον_μᾶλλον_ἴλιον_λόγος_οὐδ","ν_ἵππους_σὺν_θ_χωρὶς_ἔστιν_λόγον","μέσου_με_μή_τίς_μέγα_κε_ποτὲ","τέλος_λόγος_στίχου_στικτέον_ἵν_ἀπὸ_πάλιν","ἀμφί_αὐτὰρ_αὐτὸς_αὐτοὺς_πάτροκλον_μιν_ἕνεκα","τέλους_πῶς_θεῶν_του_κε_ἄριστον_οὔτε","τισι_πῦρ_ἔν_δεῖ_τούτων_αἷμα_λόγος","ᾖ_ἵν_ἄλλοι_του_στικτέον_ἀρισταρχος_ἀρίσταρχος","οἷον_αὐτὸ_ἄλλοι_μ_τυραννίων_ὁμοίως_ἀριστάρχου","ϊ_ἀθετοῦνται_του_ἀπ_τούτου_δασύνεται_λόγος","ν_χωρὶς_ἀριστάρχου_εἴτε_ἄλλοι_κ_αρισταρχος","ἔνθα_πάντα_τῶ_πάντες_κε_ὃς_εἴ"
"ἤτοι",4.80187465186409e-06,0.00389115857720147,6.53159331687372e-06,6.97097286897359e-06,0.00399849058794502,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,0.00191016879499551,7.77290675621055e-06,0.00308813110310199,0.00896752680129644,0.00274428859595628,0.00750876417269368,0.00479449869168422,0.00731616214109393,8.27458378843544e-06,8.24728664269455e-06,0.00044347054833829,0.00421881723447644
"ϊ",0.00816798878282081,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.00852895844448396,0.00224959268172374,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,0.000777808582078058,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,0.00414556647800616,0.0123791772506845,0.00957374654353837,9.35436193897214e-06
"ἄλλοι",4.80187465186409e-06,0.00389115857720147,6.53159331687372e-06,0.00140116554666369,7.25678872585304e-06,7.41004208903907e-06,0.00262327917370443,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.00316615608123046,7.97753526070585e-06,0.0170602182668572,0.00952404594048919,8.24728664269455e-06,0.0121823968278813,9.35436193897214e-06
"λόγος",0.00336611413095673,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00564653163110329,0.00837886790155401,7.77290675621055e-06,7.70107507007978e-06,0.0140317252555472,7.81848602836547e-06,7.89565107538768e-06,0.00758663603293127,8.1200467714694e-06,8.27458378843544e-06,0.00825553392933725,8.6955009478096e-06,9.35436193897214e-06
"ὁμοίως",0.00912836371319363,5.55086815577956e-06,0.00033311125916056,0.00418955469425313,0.00581268776940828,0.000748414250992946,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.00273466716529544,7.81848602836547e-06,0.00198180841992231,7.97753526070585e-06,8.1200467714694e-06,0.00911031675106742,0.00536898360439415,0.00435644597485261,9.35436193897214e-06
"ᾖ",0.000244895607245068,5.55086815577956e-06,6.53159331687372e-06,0.00523520062459917,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00677433422053804,0.00152965708284501,7.77290675621055e-06,7.70107507007978e-06,0.0093570805285465,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.0182782252825776,0.00580048323569324,8.24728664269455e-06,0.00087824559572877,9.35436193897214e-06
"ἵν",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.00593229791149653,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.01278928136419,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.0109152954375467,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.0178722229440042,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"ἀπὸ",0.00288592666577032,5.55086815577956e-06,0.0039254875834411,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.00739203432515624,7.70107507007978e-06,0.0109152954375467,0.00587168300730247,7.89565107538768e-06,7.97753526070585e-06,0.00569215278680005,8.27458378843544e-06,8.24728664269455e-06,0.00870419644875741,9.35436193897214e-06
"πάλιν",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,0.00109577509760381,0.00445343529551248,0.00561277110954993,7.51868392956497e-06,7.61023424301e-06,0.0027282902714299,7.70107507007978e-06,0.0109152954375467,0.0039170615002111,0.00553485140384676,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.00825553392933725,0.00435644597485261,9.35436193897214e-06
"αὐτὸς",4.80187465186409e-06,0.00250344153825658,0.00359890791759742,6.97097286897359e-06,0.00109577509760381,0.00556494160886834,7.47372983961376e-06,7.51868392956497e-06,0.00533477420435001,0.000396418244566738,0.00732372239164587,0.000397344801795064,0.00860815311723038,0.00632441651138553,0.00240123811347246,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"ἦ",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.0104634302763294,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.01278928136419,7.61023424301e-06,0.000396418244566738,0.0065536148846379,0.00195555971079531,0.00626260730872074,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,0.0020769205308973,8.24728664269455e-06,8.6955009478096e-06,0.00328338104057922
"τί",0.00384630159614313,0.00666659265509126,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.00630594581777225,0.00486539812558856,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.0031242208925455,0.00508983440446592,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.00165770461518161,0.00392167092746213,0.00468653533142504
"ὥσπερ",0.00456658279392275,0.000560637683733736,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.00148941845989685,7.47372983961376e-06,7.51868392956497e-06,0.00381272735574801,0.00739203432515624,0.00116286233558205,0.0109152954375467,7.81848602836547e-06,0.00790354672646306,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,0.00348689588007165,9.35436193897214e-06
"μοι",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.00408293319106053,0.0104706955052989,7.51868392956497e-06,0.00685682105295201,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,0.00455929566742793,0.00701844093293306,0.00566077111702405,0.00515425342837365
"τοι",0.000244895607245068,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,0.000732935661311157,0.0129749836979074,7.47372983961376e-06,0.00715026841701629,0.00457375078004901,7.77290675621055e-06,0.00732372239164587,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.0036621410939327,8.27458378843544e-06,8.24728664269455e-06,0.00305212083268117,0.00234794484668201
"τούτου",0.00240573920058391,0.00527887561614637,0.00359890791759742,6.97097286897359e-06,0.00218429340648176,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.00583745297391412,7.70107507007978e-06,7.79107454500125e-06,0.00274428859595628,7.89565107538768e-06,0.00758663603293127,8.1200467714694e-06,8.27458378843544e-06,0.0090802625936067,8.6955009478096e-06,9.35436193897214e-06
"ν",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.0132217143923142,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.00528615044822658,8.27458378843544e-06,8.24728664269455e-06,0.0260951983443766,9.35436193897214e-06
"οἷον",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.00384100605080445,0.00182145397018911,7.41004208903907e-06,7.47372983961376e-06,0.00301499225575555,0.010661938174457,7.77290675621055e-06,0.00116286233558205,0.00234511343804537,0.000398742787446639,0.00395572118876923,7.97753526070585e-06,8.1200467714694e-06,0.0103515043193327,0.00289479761158579,8.6955009478096e-06,9.35436193897214e-06
"πῶς",0.00120527053761789,0.00555641902393534,6.53159331687372e-06,0.0111605275632267,7.25678872585304e-06,0.000748414250992946,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.0054488076361036,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.0122461548179263,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"του",0.000965176805024682,5.55086815577956e-06,0.00490522658097216,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,0.000789667088864912,0.0106670246028488,7.97753526070585e-06,0.012594192542549,8.27458378843544e-06,0.0103173555900109,8.6955009478096e-06,9.35436193897214e-06
"αὐτῶν",4.80187465186409e-06,0.0113848305875039,6.53159331687372e-06,0.00558374926804785,0.00617552720570093,7.41004208903907e-06,7.47372983961376e-06,0.0041427948451903,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.000397344801795064,0.00665353161013901,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"δεῖ",0.00816798878282081,5.55086815577956e-06,6.53159331687372e-06,0.00349245740735577,0.0087154032597495,0.00185992056434881,7.47372983961376e-06,0.0026390580592773,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.000402678204844772,0.00838438955900185,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"διὸς",4.80187465186409e-06,0.0061115058395133,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,0.0179444253449126,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,0.00508983440446592,7.89565107538768e-06,0.00758663603293127,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"διπλῆ",4.80187465186409e-06,0.00194835472267863,6.53159331687372e-06,0.000355519616317653,0.00399849058794502,0.00148941845989685,7.47372983961376e-06,0.0026390580592773,0.00038812194639351,0.00350558094705096,0.00424329236361396,0.000786898529045126,0.00274428859595628,7.89565107538768e-06,0.0055922522177548,0.00569215278680005,8.27458378843544e-06,0.00495661927225943,8.6955009478096e-06,9.35436193897214e-06
"ὥστε",0.00504677025910916,0.00250344153825658,0.00490522658097216,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00677433422053804,0.00457375078004901,7.77290675621055e-06,0.00501339987062194,0.00468243580154575,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"μᾶλλον",0.00528686399170236,5.55086815577956e-06,6.53159331687372e-06,0.0111605275632267,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00489466323814679,0.00952040303800551,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,0.00280011487650775,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"ἀριστάρχου",4.80187465186409e-06,5.55086815577956e-06,0.00294574858591005,6.97097286897359e-06,0.00290997227906707,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,0.000392754828574069,0.00234511343804537,7.81848602836547e-06,7.89565107538768e-06,0.00519337545471951,0.00325613875535923,0.00911031675106742,8.24728664269455e-06,0.0130519469226622,9.35436193897214e-06
"οὐδ",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,0.00486539812558856,7.51868392956497e-06,0.00761784447725301,0.00311693560924043,7.70107507007978e-06,0.00818841934679631,7.81848602836547e-06,0.00750876417269368,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,0.00696509625919549,9.35436193897214e-06
"χωρὶς",0.000244895607245068,0.000838181091522714,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.00482393739996443,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.00816932500077729,0.00193296984259003,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,0.00240123811347246,0.00609815512537352,0.000422003773210208,8.24728664269455e-06,0.0139214970174432,9.35436193897214e-06
"τῶ",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.00453810333770181,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00527059743462504,0.00305170393144701,7.77290675621055e-06,0.00539845362412593,7.79107454500125e-06,0.00196243999311973,7.89565107538768e-06,7.97753526070585e-06,0.00203813173963882,0.00166319134147552,0.0045442549401247,8.6955009478096e-06,0.00983143439785972
"ζεὺς",4.80187465186409e-06,0.00916448332519206,0.00849760290525271,6.97097286897359e-06,7.25678872585304e-06,0.00482393739996443,0.00710751707747268,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,0.00118059139028319,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"μετὰ",4.80187465186409e-06,0.00278098494604556,6.53159331687372e-06,0.00349245740735577,7.25678872585304e-06,7.41004208903907e-06,0.00299696566568512,0.00113532127336431,0.00571528591650051,0.00700338898734571,0.00501339987062194,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,0.00160348458740188,0.00325613875535923,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,0.00234794484668201
"ὃς",4.80187465186409e-06,5.55086815577956e-06,0.0140494572245954,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,0.00231802359609401,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.00528615044822658,8.27458378843544e-06,0.00660607660079834,8.6955009478096e-06,0.00749284391311669
"οὐδέ",4.80187465186409e-06,0.00833185310182512,6.53159331687372e-06,0.00558374926804785,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.00389422628486149,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.00592963395761615,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.00536898360439415,0.00435644597485261,9.35436193897214e-06
"ὑπὸ",4.80187465186409e-06,0.00583396243172432,6.53159331687372e-06,0.00488665198115049,7.25678872585304e-06,0.00297142687770467,0.006733830585492,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,0.002703077349598,0.00740931189229619,7.81848602836547e-06,7.89565107538768e-06,0.00280011487650775,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"ἔστιν",0.00288592666577032,5.55086815577956e-06,6.53159331687372e-06,0.00349245740735577,0.00399849058794502,7.41004208903907e-06,0.00262327917370443,7.51868392956497e-06,0.00495426249219951,0.00778067966296676,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.00447414577107964,8.27458378843544e-06,0.00289479761158579,8.6955009478096e-06,0.000944790555836186
"ἕως",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.00244681147700973,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.0116614787747553,7.61023424301e-06,7.77290675621055e-06,0.00116286233558205,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,0.00639000574382539,0.00812816681824087,8.27458378843544e-06,0.00578134793652888,8.6955009478096e-06,9.35436193897214e-06
"στικτέον",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,0.00314390876390709,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.0033909264522338,0.00076863365854401,7.77290675621055e-06,7.70107507007978e-06,0.0116944028920469,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.012594192542549,8.27458378843544e-06,0.00413189060798997,8.6955009478096e-06,9.35436193897214e-06
"γίνεται",4.80187465186409e-06,0.00250344153825658,0.000986270590847931,0.000355519616317653,0.00690120607828624,0.00408293319106053,7.47372983961376e-06,0.00677433422053804,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.00395572118876923,7.97753526070585e-06,0.00447414577107964,8.27458378843544e-06,0.00289479761158579,8.6955009478096e-06,0.000477072458887579
"πρότερον",0.00168545800280429,5.55086815577956e-06,0.00621154524434691,6.97097286897359e-06,0.00907824269604215,7.41004208903907e-06,0.00150221969776237,0.00376686064871205,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.000397344801795064,7.81848602836547e-06,0.00435050374253861,0.000805731061331291,0.00406814343250617,8.27458378843544e-06,8.24728664269455e-06,0.00044347054833829,9.35436193897214e-06
"ἄρα",0.00600714518948197,0.00444624539277943,6.53159331687372e-06,0.00244681147700973,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.00390332834704562,7.81848602836547e-06,0.00592963395761615,7.97753526070585e-06,0.00082012472391841,8.27458378843544e-06,0.00578134793652888,8.6955009478096e-06,9.35436193897214e-06
"αὐτὸ",0.00360620786354993,5.55086815577956e-06,6.53159331687372e-06,0.00384100605080445,0.00472416946053033,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,0.00495426249219951,0.0027282902714299,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,0.00237659097369169,7.97753526070585e-06,8.1200467714694e-06,0.00993777512991097,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"ἀρισταρχος",4.80187465186409e-06,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,0.0011189163554449,7.47372983961376e-06,7.51868392956497e-06,0.00381272735574801,0.00467151696048254,7.70107507007978e-06,0.00156600598354525,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.0117821878654021,8.27458378843544e-06,0.00289479761158579,0.00957374654353837,9.35436193897214e-06
"λόγον",4.80187465186409e-06,5.55086815577956e-06,0.000659690925004246,0.000355519616317653,7.25678872585304e-06,0.0011189163554449,7.47372983961376e-06,0.0041427948451903,0.00381272735574801,0.00778067966296676,7.70107507007978e-06,0.00546154325604587,0.00118059139028319,0.00395572118876923,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.0045442549401247,8.6955009478096e-06,9.35436193897214e-06
"ὅπερ",0.00408639532873634,5.55086815577956e-06,6.53159331687372e-06,6.97097286897359e-06,0.00399849058794502,0.00260092477325271,0.0033706521576658,0.00527059743462504,7.61023424301e-06,0.000396418244566738,7.70107507007978e-06,7.79107454500125e-06,0.00118059139028319,0.00435050374253861,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.00330716194372052,0.00131302064311925,9.35436193897214e-06
"οὔτε",4.80187465186409e-06,5.55086815577956e-06,0.0039254875834411,0.00314390876390709,0.00980392156862745,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,7.79107454500125e-06,0.00587168300730247,0.00829832928023245,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"οὗτος",4.80187465186409e-06,0.00222589813046761,0.00457864691512848,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,0.00785489006143406,7.51868392956497e-06,7.61023424301e-06,0.00389422628486149,0.000777808582078058,7.79107454500125e-06,0.00352613719879283,0.00316615608123046,7.97753526070585e-06,0.00325613875535923,8.27458378843544e-06,0.00165770461518161,8.6955009478096e-06,9.35436193897214e-06
"ὅμηρος",0.000725083072431477,0.00500133220835739,0.00033311125916056,6.97097286897359e-06,0.00436133002423767,0.00704695002667615,0.000381160221820302,0.00113532127336431,7.61023424301e-06,0.000396418244566738,0.00308813110310199,0.00468243580154575,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,0.00218257073790021,9.35436193897214e-06
"σὺν",0.00168545800280429,0.00333607176162352,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,0.00894661567639835,7.70107507007978e-06,7.79107454500125e-06,7.81848602836547e-06,7.89565107538768e-06,7.97753526070585e-06,0.00325613875535923,8.27458378843544e-06,0.0045442549401247,0.00957374654353837,9.35436193897214e-06
"θεῶν",4.80187465186409e-06,0.00583396243172432,6.53159331687372e-06,6.97097286897359e-06,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,7.51868392956497e-06,7.61023424301e-06,7.77290675621055e-06,0.002703077349598,7.79107454500125e-06,0.0039170615002111,0.0118513722641569,0.00519337545471951,8.1200467714694e-06,8.27458378843544e-06,8.24728664269455e-06,8.6955009478096e-06,9.35436193897214e-06
"τρώων",4.80187465186409e-06,0.000838181091522714,6.53159331687372e-06,0.00802358977218861,7.25678872585304e-06,7.41004208903907e-06,7.47372983961376e-06,0.00639840002405979,7.61023424301e-06,7.77290675621055e-06,7.70107507007978e-06,0.00663020443779606,7.81848602836547e-06,0.00553485140384676,7.97753526070585e-06,8.1200467714694e-06,8.27458378843544e-06,0.00289479761158579,8.6955009478096e-06,9.35436193897214e-06
