"","λήγοντα_τόνον_ϊ_τέλους_αὐτὸ_ὥσπερ_ὀξύνεται","διὸς_ζεὺς_αὐτῆς_αὐτὴν_ἀφ_ἱστορία_αὐτῇ","ἀσκαλωνίτης_ὁμοίως_ἐνθάδε_ᾖ_ἓν_ἄμεινον_εἰσὶ","τί_πῶς_πρότερον_αὐτοὺς_πρῶτον_ῥητέον_δεύτερον","στικτέον_λόγος_τέλος_ἀρχῆς_ἐὰν_στίχου_ᾖ","ἦ_εὐθείας_περισπαστέον_ὁμοίως_ϊ_πτολεμαῖος_ἔφη","θεῶν_γῆν_οὐρανὸν_γῆς_ὕδωρ_πῶς_φησιν","ἀθετοῦνται_ἕως_τούτου_στίχοι_ἀριστοφάνης_ἀθετεῖται_στίχος","ν_χωρὶς_ἄλλοι_ἀριστάρχου_ἀρίσταρχος_ἀρισταρχος_ϊ","οὗτος_ὃν_ἢν_τούτων_ὧν_ἄνδρες_πόλιν","αὐτόν_λόγον_του_ἀθετεῖται_εἰπεῖν_πάλιν_αὐτὸς","κε_τίς_περ_αὖ_σύνδεσμος_ἐγὼ_μέσου","αὐτὰρ_ὅς_με_μ_σε_ἐπεί_κε","οὔτε_οὐδ_οὐδέ_ἐς_πάρ_οὐδὲ_πόλεμον","ἄργος_οἷον_ἐνθάδε_ὃν_ὥστε_μᾶλλον_βούλεται","λέγειν_λέγων_φόβον_ἤτοι_πυρὸς_σημειοῦνται_ἐνταῦθα","ἔν_τισι_ὅτ_τότε_ἀνδρῶν_ἵππων_ὅσον","του_ἀπὸ_λέξις_σημαίνει_ψυχῆς_ἔχειν_ἀφ","καί_μοι_κεν_μέν_τοι_κ_εἴ","τρώων_πάντες_ὥστε_ὑπὸ_ἤτοι_ἄλλως_γίνεται","οἷς_μέγας_οὐδὲν_ἔπειτα_ζηνοδοτος_ἄλλῳ_μόνον","σύν_ἕτερον_ἵππους_ν_χωρὶς_γ_τότε","τεῖχος_ὄφρα_πάντων_χρόνον_ἐς_μοι_θεῶν","ἵν_βέλτιον_ᾖ_ἐλλείπει_μᾶλλον_τῶ_συναπτέον","ἦ_ἵππους_πάντας_μάλα_πεζὸς_ὥς_τινες","ψιλοῦται_δασύνεται_ἔνθα_μιν_ἀμφί_ψιλῶς_ἐγένετο","ἴλιον_ὅμηρος_νεώτεροι_θηλυκῶς_ποτὲ_ὑπ_πληθυντικῶς","ἀπὸ_ὃς_εἶδος_ὑπὸ_ὃν_δῆλον_εἴρηται","ὄνομα_γίνεται_ζηνοδοτος_ἣν_αἴαντος_ἄρης_κύριον","αὐτὸς_διὸς_οὗτος_εἴτε_ζηνόδοτον_οὖ_πότερον"
"ἤτοι",0.00164165103189493,0.00145126971645312,7.59001760884085e-06,8.1134586051342e-06,0.0164017877172094,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,0.00810854578263082,0.00640310509924232,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,0.0108030982470444,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,0.010785531418722,1.28448851667266e-05,0.0032554278747633,1.3012023109353e-05,0.00878518798412998,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ϊ",0.0106407347615516,5.78195106156622e-06,0.00456160058291335,8.1134586051342e-06,8.62797880968404e-06,0.0109878570337559,1.02614620531133e-05,1.07582408124623e-05,0.0257962703193333,1.15671123860639e-05,1.16208803978989e-05,0.00175068404210917,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ἄλλοι",5.45399013918583e-06,0.00231856237568805,0.00532060234379744,0.00203647810988868,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,0.00592779068766675,0.0325006188629425,1.15671123860639e-05,1.16208803978989e-05,0.00638825766359041,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,0.00620034157570357,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,0.00298432117828721
"λόγος",0.00245974955277281,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,0.0276181601697986,0.00239613563464182,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.0104461345823865,1.15805076894571e-05,1.16751506094429e-05,0.00660259790058956,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,0.00391661895591527,1.34949124180184e-05,0.00891146032962821,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ὁμοίως",0.00655024215716218,5.78195106156622e-06,0.0170851296375008,8.1134586051342e-06,0.00173422374074649,0.0114651748892623,1.02614620531133e-05,1.07582408124623e-05,0.00516750556976648,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,0.00116963127663517,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,0.00555747239747634,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,0.00390391948328189,1.3012023109353e-05,0.000688240533318939,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,0.000757215821356456
"ᾖ",5.45399013918583e-06,5.78195106156622e-06,0.0132901208330803,8.1134586051342e-06,0.0185587824196304,9.54635711012678e-06,0.00154948077002011,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,0.0031063587534962,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.0249790828857521,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ἵν",5.45399013918583e-06,5.78195106156622e-06,0.00835660938733378,8.1134586051342e-06,0.0138133940743042,9.54635711012678e-06,0.00257562697533145,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,0.00743793470458652,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.0351002671992659,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ἀπὸ",0.00300514856669139,0.00405314769415792,7.59001760884085e-06,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,0.00377614252517428,1.03143823747834e-05,1.15671123860639e-05,0.00175475294008274,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,0.00420853216949234,0.00370908911671924,0.0216702556867404,1.20189418523593e-05,0.0012800689462878,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,0.004936569998031,1.38500318550733e-05,0.0202304626581182,1.49249276141011e-05,1.4847369046205e-05
"πάλιν",0.00382324708756927,0.00318585503492298,0.00456160058291335,0.00406484276117223,0.00518541526462011,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,0.0116325012782968,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,0.00121027656616977,0.00600705019064291,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,0.00900426450187535,0.00584939430883764,0.00261541664497996,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,0.000706351624608737,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"αὐτὸς",5.45399013918583e-06,0.00318585503492298,0.000766591778492926,0.0069045532729692,8.62797880968404e-06,9.54635711012678e-06,0.00462791938595411,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,0.0116325012782968,1.15939340537031e-05,0.00580183435241801,1.16751506094429e-05,0.0036068638259119,1.19901201410038e-05,0.000628450315457413,1.23759312888295e-05,0.00181486021970626,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,0.00891146032962821,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,0.0185740586768025
