"","form","lemmata"
"a","a","a<prep>;a<intj>"
"ab","ab","ab<prep>"
"aberrante","aberrante","aberrare<v>"
"aberravit","aberravit","aberrare<v>"
"abiciet","abiciet","abicere<v>"
"abiecisset","abiecisset","abicere<v>"
"abigeret","abigeret","abigere<v>"
"abiit","abiit","abire<v>"
"abillo","abillo","abillo"
"abistis","abistis","abire<v>"
"abite","abite","abire<v>;abitere<v>"
"abscondit","abscondit","abscondere<v>"
"absenti","absenti","absens<adj>;absentium<n>"
"absentivos","absentivos","absentivus<adj>"
"abstinax","abstinax","abstinax<adj>"
"abstulerunt","abstulerunt","auferre<v>"
"abundanti","abundanti","abundans<adj>;abundare<v>"
"ac","ac","ac<conj>"
"accede","accede","accedere<v>"
"accedere","accedere","accedere<v>"
"acceperant","acceperant","accipere<v>"
"acceperat","acceperat","accipere<v>"
"acceperit","acceperit","accipere<v>"
"accepi","accepi","accipere<v>"
"accepisset","accepisset","accipere<v>"
"accepit","accepit","accipere<v>"
"acceptus","acceptus","acceptus<adj>;accipere<v>"
"accersere","accersere","accersere<v>"
"accessere","accessere","accedere<v>"
"accesserunt","accesserunt","accedere<v>"
"accessi","accessi","accedere<v>"
"accessimus","accessimus","accedere<v>"
"accessisset","accessisset","accedere<v>"
"accessit","accessit","accedere<v>"
"accipere","accipere","accipere<v>"
"accipiam","accipiam","accipere<v>"
"accipiebat","accipiebat","accipere<v>"
"accipiet","accipiet","accipere<v>"
"accipimus","accipimus","accipere<v>"
"accipit","accipit","accipere<v>"
"accumbebat","accumbebat","accumbere<v>"
"accuratissime","accuratissime","accuratus<adj>"
"accurrit","accurrit","accurrere<v>"
"acetabula","acetabula","acetabulum<n>"
"aceto","aceto","acere<v>;acetare<v>;acetum<n>"
"achilli","achilli","achilli"
"acia","acia","acia<n>"
"acidior","acidior","acidus<adj>"
"acido","acido","acidus<adj>"
"acidum","acidum","acidus<adj>"
"acroama","acroama","acroama<n>"
"acroamata","acroamata","acroama<n>"
"acta","acta","acta<n>;acte<n>;actum<n>;agere<v>"
"actuarius","actuarius","actuarius<adj>;actuarius<n>"
"actum","actum","actum<n>;actus<n>;agere<v>"
"actus","actus","actus<n>;agere<v>"
"acu","acu","acus<n>"
"acutissima","acutissima","acutus<adj>"
"acutum","acutum","acutus<adj>;acutus<n>;acuere<v>"
"ad","ad","ad<prep>;ad<conj>"
"adcognosco","adcognosco","adcognosco"
"adduci","adduci","adducere<v>"
"adducti","adducti","adductus<adj>;adducere<v>"
"adductus","adductus","adductus<adj>;adducere<v>"
"adeo","adeo","adeo<adv>;adire<v>"
"adhibete","adhibete","adhibere<v>"
"adhuc","adhuc","adhuc<adv>"
