"","identifier","text","insequor_novus_perterreo_circumvenio_conspicio_cado_committo","collis_fodio_altitudo_natura_pedum_vallus_mons","consto_tres_frumentarius_centurio_eo_audio_egredior","potestas_sive_aeduorum_fides_interfacio_nuntius_fortuna","agger_turris_porta_vallus_clamor_eruptio_subsidium","jus_caesare_liber_pax_injuria_respondeo_regnum","auctoritas_senatus_quisquam_publicus_magistratus_gratia_frater","romanis_concilium_dis_ratio_exspecto_communis_liber","labienum_galliam_praeficio_hiberna_hiemo_crassus_deduco","ullus_prior_moror_fortuna_vereor_supero_enim","dimitto_concilium_littera_polliceor_evoco_remus_finitimus","pons_domus_traduco_occido_armo_occupo_confero","post_moveo_tertius_supra_dux_accedo_explorator","nitor_memoria_magnitudo_doceo_genus_gravis_publicus","tempestas_sero_commeatus_portus_tueor_insula_aestus"
"1","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.1","gallia sum omnis divido in pars tres  qui unus incolo belgae  alius aquitani  tertius qui ipse lingua celtae  noster gallus appello","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.961643835616438","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"2","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.2","hic omnis lingua  instituo  lex inter sui differo  gallus ab aquitanis garumna flumen  ab belgis matrona et sequana divido","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.161904761904762","0.00317460317460317","0.796825396825397","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317"
"3","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.3","hic omnis fortis sum belgae  propterea qui ab colo atque humanitas provincia longus absum  parvus ad is mercator saepis con-meo atque is qui ad effemino animus pertineo importo","0.0021505376344086","0.0021505376344086","0.109677419354839","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.217204301075269","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.647311827956989","0.0021505376344086"
"4","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.4","proximus sum germanus  qui trans rhenum incolo  qui contineo bellus gero  qui de causa helvetii quoque reliquus gallus virtus praecedo  qui for cottidianus proelium cum germanus contendo  cum aut suus finis is prohibeo aut ipse in is finis bellus gero","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.381132075471698","0.00377358490566038","0.569811320754717","0.00377358490566038","0.00377358490566038","0.00377358490566038"
"5","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.5","is unus pars  qui gallus obtineo dico sum  initium capio ab flumen rhodano  contineo garumna flumen  oceano  finis belgarum  attingo etiam ab sequanis et helvetiis flumen rhenum  vergo ad septentriones","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.355752212389381","0.00176991150442478","0.00176991150442478","0.621238938053097","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"6","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.6","belgae ab extremus galliae finis orior  pertineo ad inferus pars flumen rheni  specto in septentriones et orior solo","0.00194174757281553","0.681553398058252","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.293203883495146","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553"
"7","urn:cts:latinLit:stoa0069.stoa001.hc:1.1.7","aquitania ab garumna flumen ad pyrenaeos mons et is pars oceani qui sum ad hispaniam pertineo  specto inter occido solus et septentriones","0.00240963855421687","0.725301204819277","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.243373493975904","0.00240963855421687","0.00240963855421687","0.00240963855421687"
"8","urn:cts:latinLit:stoa0069.stoa001.hc:1.2.1","apud helvetios longus nobilis sum et dives orgetorix  is m  messala   et p   m  piso consul regnum cupiditas induco conjuratio nobilitas facio et civitas persuadeo ut de finis suus cum omnis copia exeo","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.78562091503268","0.00130718954248366","0.00130718954248366","0.197385620915033","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366"
"9","urn:cts:latinLit:stoa0069.stoa001.hc:1.2.2","perfacilis sum  cum virtus omnis praesto  totus galliae imperium potior","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.612121212121212","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"10","urn:cts:latinLit:stoa0069.stoa001.hc:1.2.3","is hic facilis is persuadeo  qui undique locum natura helvetii contineo  unus ex pars flumen reno fero atque alo  qui ager helvetium ab germanus divido  alter ex pars mons jus alo  qui sum inter sequanos et helvetios  tertius lacus lemanno et flumen rhodano  qui provincia noster ab helvetiis divido","0.00109289617486339","0.219672131147541","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.32896174863388","0.00109289617486339","0.00109289617486339","0.438251366120219","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339","0.00109289617486339"
